CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.29,0.00,18.50,0.00,0.00,32.23,0.00,43.41,0.00,94.43,94.43
0,0.28,0.00,18.36,0.00,0.00,33.07,0.00,43.35,0.00,95.06,95.06
1,0.31,0.00,18.26,0.01,0.00,33.18,0.00,43.11,0.00,94.87,94.86
2,0.29,0.00,17.96,0.00,0.00,31.79,0.00,44.45,0.00,94.49,94.49
3,0.26,0.00,19.44,0.00,0.00,32.00,0.00,42.58,0.00,94.28,94.28
4,0.27,0.00,19.41,0.02,0.00,32.21,0.00,42.43,0.00,94.34,94.34
5,0.25,0.00,16.63,0.00,0.00,31.81,0.00,45.27,0.00,93.96,93.96
6,0.27,0.00,19.22,0.00,0.00,31.96,0.00,43.09,0.00,94.54,94.54
7,0.36,0.00,18.69,0.00,0.00,31.80,0.00,43.01,0.00,93.86,93.87
