CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.37,0.00,15.75,0.02,0.00,10.05,0.00,44.70,0.00,70.89,70.88
0,0.38,0.00,17.73,0.00,0.00,10.07,0.00,43.33,0.00,71.51,71.51
1,0.43,0.00,13.22,0.03,0.00,10.02,0.00,46.29,0.00,69.99,70
2,0.30,0.00,12.77,0.01,0.00,9.87,0.00,46.86,0.00,69.81,69.81
3,0.33,0.00,13.49,0.02,0.00,10.03,0.00,46.68,0.00,70.55,70.54
4,0.42,0.00,21.79,0.06,0.00,0.02,0.00,43.59,0.00,65.88,65.88
5,0.37,0.00,26.50,0.04,0.00,10.27,0.00,37.52,0.00,74.7,74.71
6,0.39,0.00,13.83,0.00,0.00,9.84,0.00,45.37,0.00,69.43,69.43
7,0.36,0.00,6.07,0.01,0.00,20.97,0.00,48.13,0.00,75.54,75.54
