CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,38.54,0.00,18.19,0.00,0.00,1.25,0.00,0.00,0.00,57.98,57.98
0,38.63,0.00,18.78,0.00,0.00,0.00,0.00,0.00,0.00,57.41,57.42
1,39.13,0.00,18.34,0.00,0.00,1.27,0.00,0.00,0.00,58.74,58.74
2,38.47,0.00,18.25,0.00,0.00,1.36,0.00,0.00,0.00,58.08,58.08
3,38.26,0.00,18.55,0.00,0.00,1.35,0.00,0.00,0.00,58.16,58.16
4,38.40,0.00,17.66,0.01,0.00,2.25,0.00,0.00,0.00,58.32,58.32
5,38.47,0.00,18.30,0.01,0.00,0.08,0.00,0.00,0.00,56.86,56.85
6,37.91,0.00,18.10,0.00,0.00,2.31,0.00,0.00,0.00,58.32,58.32
7,39.02,0.00,17.54,0.00,0.00,1.39,0.00,0.00,0.00,57.95,57.96
