CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,27.89,0.00,10.58,0.01,0.00,1.06,0.00,0.00,0.00,39.54,39.54
0,27.96,0.00,11.08,0.00,0.00,0.00,0.00,0.00,0.00,39.04,39.05
1,28.22,0.00,10.37,0.02,0.00,0.92,0.00,0.00,0.00,39.53,39.53
2,27.97,0.00,9.95,0.02,0.00,1.25,0.00,0.00,0.00,39.19,39.18
3,27.99,0.00,10.42,0.00,0.00,0.99,0.00,0.00,0.00,39.4,39.41
4,28.11,0.00,10.90,0.00,0.00,1.01,0.00,0.00,0.00,40.02,40.02
5,27.38,0.00,10.68,0.02,0.00,1.05,0.00,0.00,0.00,39.13,39.13
6,27.44,0.00,10.69,0.00,0.00,2.45,0.00,0.00,0.00,40.58,40.58
7,27.99,0.00,10.54,0.01,0.00,0.85,0.00,0.00,0.00,39.39,39.39
