CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,87.44,0.00,9.45,0.00,0.00,1.05,0.00,0.00,0.00,97.94,97.93
0,88.05,0.00,9.91,0.00,0.00,0.00,0.00,0.00,0.00,97.96,97.97
1,87.40,0.00,9.88,0.00,0.00,0.02,0.00,0.00,0.00,97.3,97.3
2,88.43,0.00,8.54,0.00,0.00,1.92,0.00,0.00,0.00,98.89,98.9
3,85.97,0.00,10.12,0.00,0.00,1.31,0.00,0.00,0.00,97.4,97.4
4,87.69,0.00,8.97,0.00,0.00,1.98,0.00,0.00,0.00,98.64,98.65
5,87.05,0.00,9.65,0.00,0.00,0.99,0.00,0.00,0.00,97.69,97.7
6,87.68,0.00,8.76,0.00,0.00,1.02,0.00,0.00,0.00,97.46,97.46
7,87.21,0.00,9.73,0.00,0.00,1.16,0.00,0.00,0.00,98.1,98.09
