CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,39.34,0.00,11.04,0.00,0.00,1.27,0.00,0.00,0.00,51.65,51.65
0,39.55,0.00,11.48,0.02,0.00,0.00,0.00,0.00,0.00,51.05,51.05
1,39.29,0.00,10.97,0.02,0.00,1.19,0.00,0.00,0.00,51.47,51.48
2,39.93,0.00,11.01,0.00,0.00,1.40,0.00,0.00,0.00,52.34,52.34
3,39.95,0.00,11.07,0.00,0.00,1.34,0.00,0.00,0.00,52.36,52.35
4,39.58,0.00,10.68,0.00,0.00,2.43,0.00,0.00,0.00,52.69,52.68
5,38.38,0.00,11.01,0.00,0.00,1.36,0.00,0.00,0.00,50.75,50.75
6,39.48,0.00,11.36,0.00,0.00,0.00,0.00,0.00,0.00,50.84,50.84
7,38.51,0.00,10.72,0.00,0.00,2.47,0.00,0.00,0.00,51.7,51.7
