CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,35.63,0.00,15.57,0.01,0.00,0.77,0.00,0.00,0.00,51.98,51.98
0,41.00,0.00,18.11,0.00,0.00,0.00,0.00,0.00,0.00,59.11,59.11
1,41.19,0.00,17.97,0.00,0.00,0.02,0.00,0.00,0.00,59.18,59.18
2,40.17,0.00,17.58,0.00,0.00,1.17,0.00,0.00,0.00,58.92,58.92
3,40.47,0.00,17.48,0.00,0.00,1.29,0.00,0.00,0.00,59.24,59.24
4,0.19,0.00,0.77,0.05,0.00,0.35,0.00,0.00,0.00,1.36,1.36
5,40.86,0.00,18.20,0.01,0.00,0.00,0.00,0.00,0.00,59.07,59.07
6,39.60,0.00,16.78,0.00,0.00,2.21,0.00,0.00,0.00,58.59,58.6
7,40.43,0.00,17.13,0.01,0.00,1.13,0.00,0.00,0.00,58.7,58.7
