CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,86.39,0.00,10.39,0.00,0.00,0.96,0.00,0.00,0.00,97.74,97.74
0,87.16,0.00,10.60,0.00,0.00,0.01,0.00,0.00,0.00,97.77,97.77
1,87.32,0.00,10.32,0.00,0.00,0.02,0.00,0.00,0.00,97.66,97.66
2,85.91,0.00,10.03,0.00,0.00,1.86,0.00,0.00,0.00,97.8,97.79
3,85.48,0.00,10.98,0.00,0.00,1.05,0.00,0.00,0.00,97.51,97.51
4,85.67,0.00,10.28,0.00,0.00,1.84,0.00,0.00,0.00,97.79,97.79
5,86.46,0.00,10.40,0.00,0.00,0.98,0.00,0.00,0.00,97.84,97.83
6,86.54,0.00,10.15,0.00,0.00,0.94,0.00,0.00,0.00,97.63,97.62
7,86.57,0.00,10.35,0.00,0.00,1.01,0.00,0.00,0.00,97.93,97.93
