CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,27.72,0.00,6.86,0.00,0.00,0.13,3.22,0.00,0.00,37.93,37.93
0,24.39,0.00,6.80,0.00,0.00,0.06,1.86,0.00,0.00,33.11,33.11
1,24.64,0.00,6.97,0.00,0.00,0.06,1.98,0.00,0.00,33.65,33.65
2,25.33,0.00,6.62,0.00,0.00,0.07,2.03,0.00,0.00,34.05,34.05
3,26.71,0.00,6.63,0.00,0.00,0.05,2.00,0.00,0.00,35.39,35.39
4,27.95,0.00,6.86,0.00,0.00,0.07,2.08,0.00,0.00,36.96,36.95
5,28.46,0.00,6.94,0.00,0.00,0.52,2.06,0.00,0.00,37.98,37.97
6,29.75,0.00,6.93,0.00,0.00,0.07,2.18,0.00,0.00,38.93,38.93
7,30.42,0.00,7.05,0.00,0.00,0.13,2.47,0.00,0.00,40.07,40.07
8,31.38,0.00,7.14,0.00,0.00,0.10,2.85,0.00,0.00,41.47,41.46
9,31.10,0.00,7.21,0.00,0.00,0.10,3.21,0.00,0.00,41.62,41.63
10,30.39,0.00,6.98,0.00,0.00,0.12,3.84,0.00,0.00,41.33,41.33
11,29.03,0.00,6.95,0.00,0.00,0.17,4.31,0.00,0.00,40.46,40.45
12,28.93,0.00,6.77,0.04,0.00,0.24,4.76,0.00,0.00,40.74,40.75
13,26.44,0.00,7.15,0.00,0.00,0.13,4.33,0.00,0.00,38.05,38.06
14,25.04,0.00,6.34,0.00,0.00,0.13,6.18,0.00,0.00,37.69,37.69
15,23.68,0.00,6.43,0.00,0.00,0.06,5.07,0.00,0.00,35.24,35.25
