CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,21.11,0.00,25.69,0.02,0.00,1.82,7.36,0.00,0.00,56,56
0,22.52,0.00,31.03,0.00,0.00,1.55,3.17,0.00,0.00,58.27,58.27
1,21.65,0.00,25.08,0.00,0.00,2.25,8.69,0.00,0.00,57.67,57.66
2,19.71,0.00,25.21,0.00,0.00,1.24,8.25,0.00,0.00,54.41,54.41
3,24.15,0.00,29.74,0.00,0.00,2.21,3.98,0.00,0.00,60.08,60.07
4,21.36,0.00,22.87,0.00,0.00,1.72,8.26,0.00,0.00,54.21,54.2
5,19.23,0.00,22.38,0.00,0.00,4.08,13.91,0.00,0.00,59.6,59.6
6,21.43,0.00,27.30,0.00,0.00,1.65,5.22,0.00,0.00,55.6,55.61
7,20.52,0.00,25.39,0.23,0.00,1.80,7.04,0.00,0.00,54.98,54.99
8,20.24,0.00,24.60,0.00,0.00,1.42,7.85,0.00,0.00,54.11,54.11
9,21.70,0.00,27.05,0.00,0.00,1.27,5.83,0.00,0.00,55.85,55.84
10,20.81,0.00,24.56,0.00,0.00,1.69,7.28,0.00,0.00,54.34,54.34
11,20.28,0.00,22.62,0.06,0.00,1.39,9.27,0.00,0.00,53.62,53.63
12,20.62,0.00,26.34,0.00,0.00,1.17,7.52,0.00,0.00,55.65,55.65
13,21.14,0.00,26.38,0.00,0.00,2.02,4.39,0.00,0.00,53.93,53.92
14,22.56,0.00,24.59,0.00,0.00,1.54,8.54,0.00,0.00,57.23,57.23
15,20.04,0.00,26.16,0.00,0.00,1.98,8.13,0.00,0.00,56.31,56.3
