CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,30.81,0.00,5.28,0.02,0.00,0.07,2.07,0.00,0.00,38.25,38.24
0,27.49,0.00,5.32,0.00,0.00,0.08,0.95,0.00,0.00,33.84,33.85
1,28.49,0.00,5.05,0.00,0.00,0.02,0.91,0.00,0.00,34.47,34.47
2,29.43,0.00,4.95,0.00,0.00,0.02,0.92,0.00,0.00,35.32,35.32
3,30.43,0.00,5.05,0.00,0.00,0.02,0.92,0.00,0.00,36.42,36.44
4,31.40,0.00,5.28,0.00,0.00,0.04,0.98,0.00,0.00,37.7,37.7
5,32.40,0.00,5.92,0.01,0.00,0.35,1.42,0.00,0.00,40.1,40.1
6,33.55,0.00,5.37,0.00,0.00,0.02,1.05,0.00,0.00,39.99,39.99
7,34.52,0.00,5.52,0.05,0.00,0.09,1.21,0.00,0.00,41.39,41.38
8,35.22,0.00,5.70,0.00,0.00,0.03,1.33,0.00,0.00,42.28,42.29
9,34.39,0.00,6.14,0.00,0.00,0.06,1.61,0.00,0.00,42.2,42.2
10,33.19,0.00,5.58,0.00,0.00,0.07,2.05,0.00,0.00,40.89,40.9
11,31.49,0.00,5.28,0.00,0.00,0.11,2.46,0.00,0.00,39.34,39.34
12,30.30,0.00,5.08,0.23,0.00,0.07,2.99,0.00,0.00,38.67,38.66
13,27.50,0.00,4.76,0.00,0.00,0.05,4.55,0.00,0.00,36.86,36.86
14,26.73,0.00,4.74,0.00,0.00,0.03,4.79,0.00,0.00,36.29,36.3
15,26.62,0.00,4.70,0.00,0.00,0.02,4.71,0.00,0.00,36.05,36.05
