CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,28.93,0.00,7.17,0.00,0.00,0.16,3.09,0.00,0.00,39.35,39.35
0,26.98,0.00,7.37,0.00,0.00,0.07,1.67,0.00,0.00,36.09,36.09
1,27.01,0.00,7.40,0.00,0.00,0.06,1.77,0.00,0.00,36.24,36.23
2,28.30,0.00,7.09,0.00,0.00,0.09,1.85,0.00,0.00,37.33,37.34
3,29.22,0.00,7.67,0.00,0.00,0.08,1.74,0.00,0.00,38.71,38.71
4,30.26,0.00,7.24,0.00,0.00,0.07,1.92,0.00,0.00,39.49,39.49
5,30.95,0.00,7.03,0.00,0.00,0.62,2.65,0.00,0.00,41.25,41.24
6,31.80,0.00,7.13,0.00,0.00,0.09,2.10,0.00,0.00,41.12,41.12
7,31.94,0.00,7.07,0.00,0.00,0.19,2.43,0.00,0.00,41.63,41.64
8,31.47,0.00,7.32,0.00,0.00,0.15,2.73,0.00,0.00,41.67,41.67
9,30.77,0.00,7.34,0.00,0.00,0.15,3.16,0.00,0.00,41.42,41.42
10,29.74,0.00,7.07,0.00,0.00,0.19,3.84,0.00,0.00,40.84,40.84
11,28.08,0.00,7.20,0.00,0.00,0.17,4.50,0.00,0.00,39.95,39.95
12,27.99,0.00,6.75,0.06,0.00,0.25,4.89,0.00,0.00,39.94,39.95
13,26.53,0.00,7.08,0.00,0.00,0.13,4.52,0.00,0.00,38.26,38.27
14,26.33,0.00,6.79,0.00,0.00,0.09,4.66,0.00,0.00,37.87,37.87
15,25.58,0.00,7.11,0.00,0.00,0.12,4.91,0.00,0.00,37.72,37.73
