CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,28.88,0.00,7.26,0.01,0.00,0.17,3.11,0.00,0.00,39.43,39.42
0,26.82,0.00,7.33,0.00,0.00,0.15,1.74,0.00,0.00,36.04,36.04
1,27.18,0.00,7.77,0.00,0.00,0.05,1.87,0.00,0.00,36.87,36.87
2,28.34,0.00,6.89,0.00,0.00,0.05,1.88,0.00,0.00,37.16,37.16
3,29.07,0.00,7.33,0.00,0.00,0.10,1.78,0.00,0.00,38.28,38.28
4,30.05,0.00,7.39,0.00,0.00,0.11,1.88,0.00,0.00,39.43,39.42
5,30.95,0.00,7.21,0.00,0.00,0.95,2.46,0.00,0.00,41.57,41.56
6,31.59,0.00,7.33,0.00,0.00,0.14,2.11,0.00,0.00,41.17,41.17
7,31.77,0.00,7.34,0.00,0.00,0.18,2.36,0.00,0.00,41.65,41.64
8,31.48,0.00,7.73,0.00,0.00,0.11,2.69,0.00,0.00,42.01,42.01
9,30.72,0.00,7.19,0.00,0.00,0.12,3.23,0.00,0.00,41.26,41.26
10,29.88,0.00,7.45,0.00,0.00,0.18,3.86,0.00,0.00,41.37,41.36
11,27.83,0.00,7.14,0.00,0.00,0.24,4.50,0.00,0.00,39.71,39.7
12,28.11,0.00,6.92,0.07,0.00,0.18,5.02,0.00,0.00,40.3,40.3
13,26.84,0.00,7.35,0.02,0.00,0.12,4.49,0.00,0.00,38.82,38.82
14,25.97,0.00,6.76,0.00,0.00,0.06,4.83,0.00,0.00,37.62,37.62
15,25.62,0.00,6.99,0.00,0.00,0.06,4.88,0.00,0.00,37.55,37.55
