CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.80,0.00,22.62,0.04,0.00,13.67,0.00,48.31,0.00,85.44,85.45
0,0.94,0.00,24.40,0.06,0.00,0.01,0.00,62.55,0.00,87.96,87.95
1,0.96,0.00,23.84,0.02,0.00,0.00,0.00,61.21,0.00,86.03,86.03
2,0.06,0.00,4.74,0.00,0.00,92.39,0.00,1.44,0.00,98.63,98.62
3,0.75,0.00,25.76,0.05,0.00,0.01,0.00,49.97,0.00,76.54,76.53
4,0.85,0.00,27.98,0.04,0.00,0.01,0.00,46.13,0.00,75.01,75.01
5,1.01,0.00,25.06,0.11,0.00,0.00,0.00,56.18,0.00,82.36,82.35
6,1.22,0.00,23.48,0.07,0.00,0.08,0.00,60.12,0.00,84.97,84.98
7,0.63,0.00,26.10,0.03,0.00,15.32,0.00,49.71,0.00,91.79,91.8
