CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.97,0.00,14.43,0.04,0.00,27.10,0.00,41.18,0.00,83.72,83.73
0,1.70,0.00,17.52,0.11,0.00,0.00,0.00,52.11,0.00,71.44,71.44
1,1.06,0.00,14.11,0.03,0.00,27.25,0.00,45.32,0.00,87.77,87.77
2,0.59,0.00,9.86,0.00,0.00,44.31,0.00,37.70,0.00,92.46,92.45
3,1.09,0.00,15.20,0.03,0.00,26.48,0.00,41.10,0.00,83.9,83.89
4,0.92,0.00,16.25,0.01,0.00,26.31,0.00,41.00,0.00,84.49,84.49
5,1.03,0.00,16.61,0.02,0.00,25.98,0.00,39.50,0.00,83.14,83.14
6,0.36,0.00,7.91,0.00,0.00,55.65,0.00,29.96,0.00,93.88,93.88
7,1.05,0.00,18.26,0.15,0.00,10.41,0.00,42.79,0.00,72.66,72.65
