CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.43,0.00,21.87,0.09,0.00,13.54,0.00,48.96,0.00,84.89,84.88
0,0.62,0.00,22.89,0.02,0.00,0.00,0.00,64.27,0.00,87.8,87.8
1,0.51,0.00,22.74,0.04,0.00,0.01,0.00,62.66,0.00,85.96,85.96
2,0.08,0.00,4.41,0.02,0.00,91.37,0.00,1.57,0.00,97.45,97.45
3,0.36,0.00,25.49,0.11,0.00,0.01,0.00,49.63,0.00,75.6,75.59
4,0.40,0.00,27.65,0.02,0.00,0.00,0.00,46.28,0.00,74.35,74.35
5,0.51,0.00,23.34,0.44,0.00,0.01,0.00,58.17,0.00,82.47,82.46
6,0.64,0.00,22.14,0.07,0.00,0.10,0.00,61.63,0.00,84.58,84.56
7,0.34,0.00,26.71,0.02,0.00,15.32,0.00,48.17,0.00,90.56,90.55
