CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.82,0.00,22.26,0.13,0.00,16.31,0.00,46.83,0.00,86.35,86.33
0,1.30,0.00,22.53,0.09,0.00,0.01,0.00,57.19,0.00,81.12,81.12
1,1.43,0.00,21.12,0.11,0.00,0.02,0.00,61.17,0.00,83.85,83.84
2,0.60,0.00,18.07,0.09,0.00,33.57,0.00,42.74,0.00,95.07,95.08
3,0.45,0.00,20.48,0.07,0.00,32.77,0.00,39.03,0.00,92.8,92.8
4,0.37,0.00,24.52,0.03,0.00,31.70,0.00,33.04,0.00,89.66,89.65
5,0.81,0.00,27.06,0.37,0.00,0.02,0.00,48.61,0.00,76.87,76.87
6,1.09,0.00,24.09,0.17,0.00,0.18,0.00,52.62,0.00,78.15,78.15
7,0.46,0.00,20.30,0.07,0.00,32.36,0.00,39.89,0.00,93.08,93.08
