CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.81,0.00,22.28,0.04,0.00,16.13,0.00,47.62,0.00,86.88,86.88
0,1.40,0.00,19.38,0.05,0.00,0.00,0.00,62.40,0.00,83.23,83.24
1,0.90,0.00,20.07,0.01,0.00,15.80,0.00,55.53,0.00,92.31,92.31
2,0.42,0.00,18.71,0.00,0.00,33.74,0.00,42.16,0.00,95.03,95.03
3,0.41,0.00,21.60,0.01,0.00,33.69,0.00,37.30,0.00,93.01,93.01
4,0.61,0.00,27.47,0.02,0.00,15.00,0.00,39.54,0.00,82.64,82.63
5,0.64,0.00,26.48,0.00,0.00,14.93,0.00,41.84,0.00,83.89,83.88
6,1.26,0.00,21.77,0.18,0.00,0.11,0.00,53.31,0.00,76.63,76.62
7,0.82,0.00,23.08,0.02,0.00,15.69,0.00,48.50,0.00,88.11,88.11
