CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,82.81,0.00,10.63,0.00,0.00,0.91,0.00,0.00,0.00,94.35,94.35
0,84.66,0.00,10.84,0.00,0.00,0.00,0.00,0.00,0.00,95.5,95.5
1,84.34,0.00,9.38,0.00,0.00,0.02,0.00,0.00,0.00,93.74,93.74
2,83.64,0.00,11.07,0.00,0.00,0.00,0.00,0.00,0.00,94.71,94.71
3,84.61,0.00,10.89,0.00,0.00,0.00,0.00,0.00,0.00,95.5,95.5
4,83.73,0.00,10.90,0.00,0.00,0.00,0.00,0.00,0.00,94.63,94.63
5,83.50,0.00,11.24,0.00,0.00,0.00,0.00,0.00,0.00,94.74,94.74
6,84.04,0.00,9.46,0.00,0.00,0.00,0.00,0.00,0.00,93.5,93.5
7,83.72,0.00,11.04,0.00,0.00,0.00,0.00,0.00,0.00,94.76,94.76
8,83.97,0.00,9.36,0.02,0.00,0.00,0.00,0.00,0.00,93.35,93.36
9,84.21,0.00,9.78,0.00,0.00,0.00,0.00,0.00,0.00,93.99,93.99
10,84.68,0.00,10.89,0.00,0.00,0.00,0.00,0.00,0.00,95.57,95.57
11,84.48,0.00,11.10,0.00,0.00,0.00,0.00,0.00,0.00,95.58,95.59
12,78.77,0.00,11.01,0.00,0.00,3.53,0.00,0.00,0.00,93.31,93.31
13,79.81,0.00,10.65,0.00,0.00,3.02,0.00,0.00,0.00,93.48,93.48
14,78.58,0.00,11.41,0.00,0.00,3.45,0.00,0.00,0.00,93.44,93.44
15,78.24,0.00,11.06,0.00,0.00,4.48,0.00,0.00,0.00,93.78,93.78
