CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,81.74,0.00,12.14,0.00,0.00,0.93,0.00,0.00,0.00,94.81,94.82
0,83.04,0.00,12.22,0.00,0.00,0.00,0.00,0.00,0.00,95.26,95.26
1,82.43,0.00,12.79,0.00,0.00,0.05,0.00,0.00,0.00,95.27,95.27
2,82.87,0.00,11.90,0.00,0.00,0.00,0.00,0.00,0.00,94.77,94.77
3,82.92,0.00,12.35,0.00,0.00,0.00,0.00,0.00,0.00,95.27,95.28
4,82.61,0.00,11.98,0.00,0.00,0.00,0.00,0.00,0.00,94.59,94.59
5,83.08,0.00,12.18,0.00,0.00,0.00,0.00,0.00,0.00,95.26,95.26
6,82.84,0.00,12.42,0.00,0.00,0.00,0.00,0.00,0.00,95.26,95.26
7,82.48,0.00,12.78,0.02,0.00,0.00,0.00,0.00,0.00,95.28,95.28
8,82.67,0.00,12.59,0.00,0.00,0.00,0.00,0.00,0.00,95.26,95.26
9,82.99,0.00,11.56,0.00,0.00,0.00,0.00,0.00,0.00,94.55,94.55
10,82.82,0.00,11.74,0.00,0.00,0.00,0.00,0.00,0.00,94.56,94.56
11,82.93,0.00,11.63,0.00,0.00,0.00,0.00,0.00,0.00,94.56,94.56
12,78.52,0.00,12.39,0.00,0.00,3.48,0.00,0.00,0.00,94.39,94.39
13,78.95,0.00,12.13,0.00,0.00,2.95,0.00,0.00,0.00,94.03,94.02
14,78.83,0.00,11.88,0.00,0.00,3.68,0.00,0.00,0.00,94.39,94.4
15,77.91,0.00,11.74,0.00,0.00,4.72,0.00,0.00,0.00,94.37,94.37
