CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,83.34,0.00,11.80,0.00,0.00,0.92,0.00,0.00,0.00,96.06,96.07
0,84.20,0.00,12.49,0.00,0.00,0.00,0.00,0.00,0.00,96.69,96.7
1,84.21,0.00,11.19,0.03,0.00,0.02,0.00,0.00,0.00,95.45,95.46
2,83.89,0.00,12.46,0.00,0.00,0.00,0.00,0.00,0.00,96.35,96.36
3,84.33,0.00,12.34,0.00,0.00,0.00,0.00,0.00,0.00,96.67,96.67
4,85.06,0.00,11.96,0.00,0.00,0.00,0.00,0.00,0.00,97.02,97.03
5,83.97,0.00,10.92,0.00,0.00,0.00,0.00,0.00,0.00,94.89,94.89
6,84.39,0.00,12.34,0.00,0.00,0.00,0.00,0.00,0.00,96.73,96.73
7,84.58,0.00,12.58,0.00,0.00,0.01,0.00,0.00,0.00,97.17,97.17
8,84.43,0.00,10.66,0.00,0.00,0.00,0.00,0.00,0.00,95.09,95.09
9,84.15,0.00,12.51,0.00,0.00,0.00,0.00,0.00,0.00,96.66,96.66
10,84.37,0.00,10.56,0.00,0.00,0.00,0.00,0.00,0.00,94.93,94.93
11,84.96,0.00,12.21,0.00,0.00,0.00,0.00,0.00,0.00,97.17,97.16
12,80.00,0.00,11.05,0.00,0.00,4.25,0.00,0.00,0.00,95.3,95.31
13,81.57,0.00,11.50,0.00,0.00,1.99,0.00,0.00,0.00,95.06,95.07
14,80.10,0.00,11.51,0.00,0.00,3.05,0.00,0.00,0.00,94.66,94.66
15,79.17,0.00,12.57,0.00,0.00,5.43,0.00,0.00,0.00,97.17,97.17
