CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,42.81,0.00,12.36,0.00,0.00,0.83,0.00,0.00,0.00,56,56.01
0,43.61,0.00,12.04,0.00,0.00,0.03,0.00,0.00,0.00,55.68,55.67
1,43.22,0.00,13.27,0.00,0.00,0.00,0.00,0.00,0.00,56.49,56.49
2,43.30,0.00,12.45,0.01,0.00,0.00,0.00,0.00,0.00,55.76,55.77
3,43.59,0.00,12.38,0.01,0.00,0.00,0.00,0.00,0.00,55.98,55.98
4,43.42,0.00,13.25,0.00,0.00,0.00,0.00,0.00,0.00,56.67,56.67
5,43.30,0.00,12.42,0.00,0.00,0.00,0.00,0.00,0.00,55.72,55.72
6,43.30,0.00,13.21,0.00,0.00,0.00,0.00,0.00,0.00,56.51,56.51
7,43.47,0.00,12.90,0.00,0.00,0.00,0.00,0.00,0.00,56.37,56.37
8,43.47,0.00,13.09,0.00,0.00,0.00,0.00,0.00,0.00,56.56,56.57
9,43.44,0.00,13.22,0.00,0.00,0.00,0.00,0.00,0.00,56.66,56.66
10,43.63,0.00,11.62,0.00,0.00,0.01,0.00,0.00,0.00,55.26,55.26
11,43.54,0.00,13.02,0.00,0.00,0.00,0.00,0.00,0.00,56.56,56.56
12,41.40,0.00,11.43,0.00,0.00,2.09,0.00,0.00,0.00,54.92,54.92
13,41.24,0.00,12.27,0.00,0.00,2.02,0.00,0.00,0.00,55.53,55.53
14,40.73,0.00,10.22,0.00,0.00,3.57,0.00,0.00,0.00,54.52,54.52
15,40.14,0.00,10.91,0.00,0.00,5.84,0.00,0.00,0.00,56.89,56.89
