CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,28.00,0.00,19.85,0.00,0.00,1.06,0.00,0.00,0.00,48.91,48.91
0,29.73,0.00,20.91,0.00,0.00,0.00,0.00,0.00,0.00,50.64,50.64
1,29.33,0.00,21.38,0.00,0.00,0.02,0.00,0.00,0.00,50.73,50.72
2,29.86,0.00,19.30,0.00,0.00,0.00,0.00,0.00,0.00,49.16,49.16
3,29.44,0.00,21.35,0.00,0.00,0.00,0.00,0.00,0.00,50.79,50.79
4,29.01,0.00,20.68,0.00,0.00,0.00,0.00,0.00,0.00,49.69,49.68
5,29.18,0.00,19.21,0.00,0.00,0.00,0.00,0.00,0.00,48.39,48.39
6,29.39,0.00,18.77,0.01,0.00,0.00,0.00,0.00,0.00,48.17,48.17
7,29.18,0.00,20.71,0.00,0.00,0.00,0.00,0.00,0.00,49.89,49.89
8,29.80,0.00,20.56,0.00,0.00,0.00,0.00,0.00,0.00,50.36,50.36
9,29.84,0.00,18.69,0.00,0.00,0.00,0.00,0.00,0.00,48.53,48.53
10,29.26,0.00,20.84,0.00,0.00,0.00,0.00,0.00,0.00,50.1,50.11
11,29.40,0.00,20.58,0.01,0.00,0.00,0.00,0.00,0.00,49.99,49.99
12,24.27,0.00,18.35,0.00,0.00,2.98,0.00,0.00,0.00,45.6,45.6
13,23.41,0.00,19.30,0.00,0.00,2.40,0.00,0.00,0.00,45.11,45.1
14,23.06,0.00,18.55,0.00,0.00,4.97,0.00,0.00,0.00,46.58,46.57
15,23.11,0.00,18.09,0.00,0.00,7.38,0.00,0.00,0.00,48.58,48.58
