CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,41.87,0.00,11.13,0.00,0.00,0.67,0.00,0.00,0.00,53.67,53.67
0,45.60,0.00,12.08,0.00,0.00,0.01,0.00,0.00,0.00,57.69,57.69
1,46.15,0.00,11.41,0.00,0.00,0.02,0.00,0.00,0.00,57.58,57.58
2,45.64,0.00,11.72,0.00,0.00,0.00,0.00,0.00,0.00,57.36,57.37
3,45.14,0.00,11.13,0.02,0.00,0.00,0.00,0.00,0.00,56.29,56.29
4,44.43,0.00,12.37,0.00,0.00,0.00,0.00,0.00,0.00,56.8,56.8
5,44.72,0.00,12.24,0.00,0.00,0.00,0.00,0.00,0.00,56.96,56.96
6,44.90,0.00,12.21,0.00,0.00,0.00,0.00,0.00,0.00,57.11,57.11
7,46.12,0.00,12.47,0.00,0.00,0.00,0.00,0.00,0.00,58.59,58.59
8,45.45,0.00,10.64,0.00,0.00,0.00,0.00,0.00,0.00,56.09,56.09
9,46.13,0.00,12.52,0.01,0.00,0.00,0.00,0.00,0.00,58.66,58.66
10,46.21,0.00,11.12,0.00,0.00,0.00,0.00,0.00,0.00,57.33,57.33
11,46.70,0.00,12.59,0.00,0.00,0.00,0.00,0.00,0.00,59.29,59.29
12,0.27,0.00,1.46,0.00,0.00,0.34,0.00,0.00,0.00,2.07,2.06
13,39.90,0.00,10.92,0.00,0.00,2.98,0.00,0.00,0.00,53.8,53.8
14,39.62,0.00,11.36,0.00,0.00,3.12,0.00,0.00,0.00,54.1,54.11
15,39.40,0.00,10.97,0.00,0.00,4.37,0.00,0.00,0.00,54.74,54.75
