CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,43.17,0.00,11.33,0.00,0.00,0.84,0.00,0.00,0.00,55.34,55.33
0,43.84,0.00,12.02,0.00,0.00,0.00,0.00,0.00,0.00,55.86,55.86
1,44.62,0.00,11.01,0.00,0.00,0.01,0.00,0.00,0.00,55.64,55.64
2,43.79,0.00,12.14,0.00,0.00,0.00,0.00,0.00,0.00,55.93,55.93
3,44.08,0.00,11.91,0.00,0.00,0.00,0.00,0.00,0.00,55.99,55.99
4,43.45,0.00,11.93,0.01,0.00,0.00,0.00,0.00,0.00,55.39,55.39
5,43.70,0.00,11.70,0.00,0.00,0.00,0.00,0.00,0.00,55.4,55.4
6,43.72,0.00,11.62,0.00,0.00,0.00,0.00,0.00,0.00,55.34,55.33
7,43.85,0.00,11.53,0.03,0.00,0.00,0.00,0.00,0.00,55.41,55.41
8,43.65,0.00,11.35,0.00,0.00,0.00,0.00,0.00,0.00,55,55
9,43.71,0.00,11.45,0.00,0.00,0.00,0.00,0.00,0.00,55.16,55.17
10,43.97,0.00,11.67,0.00,0.00,0.00,0.00,0.00,0.00,55.64,55.64
11,43.80,0.00,11.47,0.00,0.00,0.00,0.00,0.00,0.00,55.27,55.28
12,41.78,0.00,9.69,0.00,0.00,3.88,0.00,0.00,0.00,55.35,55.36
13,40.43,0.00,11.24,0.00,0.00,2.87,0.00,0.00,0.00,54.54,54.54
14,40.97,0.00,10.32,0.00,0.00,2.85,0.00,0.00,0.00,54.14,54.14
15,41.14,0.00,10.04,0.00,0.00,4.02,0.00,0.00,0.00,55.2,55.2
