CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,82.13,0.00,11.21,0.00,0.00,1.00,0.00,0.00,0.00,94.34,94.34
0,82.75,0.00,12.38,0.00,0.00,0.01,0.00,0.00,0.00,95.14,95.14
1,84.34,0.00,11.91,0.00,0.00,0.02,0.00,0.00,0.00,96.27,96.27
2,82.89,0.00,10.21,0.00,0.00,0.01,0.00,0.00,0.00,93.11,93.1
3,83.01,0.00,9.90,0.00,0.00,0.00,0.00,0.00,0.00,92.91,92.9
4,83.97,0.00,9.17,0.00,0.00,0.00,0.00,0.00,0.00,93.14,93.14
5,83.08,0.00,9.77,0.00,0.00,0.00,0.00,0.00,0.00,92.85,92.85
6,83.49,0.00,9.60,0.00,0.00,0.00,0.00,0.00,0.00,93.09,93.09
7,83.16,0.00,12.31,0.02,0.00,0.00,0.00,0.00,0.00,95.49,95.49
8,84.13,0.00,10.22,0.00,0.00,0.01,0.00,0.00,0.00,94.36,94.36
9,83.05,0.00,11.85,0.00,0.00,0.00,0.00,0.00,0.00,94.9,94.9
10,84.44,0.00,9.77,0.03,0.00,0.00,0.00,0.00,0.00,94.24,94.24
11,83.46,0.00,11.68,0.00,0.00,0.00,0.00,0.00,0.00,95.14,95.14
12,78.29,0.00,13.34,0.00,0.00,3.81,0.00,0.00,0.00,95.44,95.43
13,78.55,0.00,11.32,0.00,0.00,3.09,0.00,0.00,0.00,92.96,92.97
14,78.16,0.00,13.02,0.00,0.00,4.23,0.00,0.00,0.00,95.41,95.42
15,77.36,0.00,12.87,0.00,0.00,4.85,0.00,0.00,0.00,95.08,95.08
