CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,40.35,0.00,10.74,0.00,0.00,0.63,0.00,0.00,0.00,51.72,51.73
0,43.64,0.00,10.69,0.00,0.00,0.06,0.00,0.00,0.00,54.39,54.4
1,43.79,0.00,10.39,0.00,0.00,0.00,0.00,0.00,0.00,54.18,54.18
2,44.77,0.00,10.67,0.00,0.00,0.00,0.00,0.00,0.00,55.44,55.44
3,43.07,0.00,10.55,0.00,0.00,0.00,0.00,0.00,0.00,53.62,53.62
4,43.80,0.00,10.52,0.00,0.00,0.00,0.00,0.00,0.00,54.32,54.31
5,44.12,0.00,12.28,0.00,0.00,0.00,0.00,0.00,0.00,56.4,56.4
6,43.62,0.00,12.24,0.00,0.00,0.01,0.00,0.00,0.00,55.87,55.87
7,43.22,0.00,12.29,0.01,0.00,0.00,0.00,0.00,0.00,55.52,55.52
8,43.77,0.00,12.42,0.01,0.00,0.00,0.00,0.00,0.00,56.2,56.2
9,44.08,0.00,12.27,0.00,0.00,0.00,0.00,0.00,0.00,56.35,56.35
10,45.02,0.00,12.11,0.00,0.00,0.00,0.00,0.00,0.00,57.13,57.13
11,44.55,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,57.05,57.05
12,39.78,0.00,10.04,0.00,0.00,2.16,0.00,0.00,0.00,51.98,51.98
13,0.25,0.00,0.83,0.00,0.00,0.17,0.00,0.00,0.00,1.25,1.25
14,39.28,0.00,10.40,0.02,0.00,2.64,0.00,0.00,0.00,52.34,52.35
15,37.31,0.00,11.34,0.00,0.00,5.35,0.00,0.00,0.00,54,54
