CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.15,0.00,12.39,0.01,0.00,5.12,0.00,34.77,0.00,52.44,52.44
0,0.16,0.00,7.67,0.04,0.00,0.04,0.00,37.91,0.00,45.82,45.82
1,0.22,0.00,9.94,0.00,0.00,0.01,0.00,36.85,0.00,47.02,47.02
2,0.18,0.00,20.48,0.00,0.00,0.00,0.00,32.27,0.00,52.93,52.93
3,0.22,0.00,8.06,0.00,0.00,0.00,0.00,37.42,0.00,45.7,45.71
4,0.15,0.00,10.21,0.00,0.00,0.00,0.00,36.65,0.00,47.01,47.01
5,0.15,0.00,13.92,0.04,0.00,0.01,0.00,34.80,0.00,48.92,48.93
6,0.18,0.00,9.86,0.03,0.00,0.00,0.00,36.76,0.00,46.83,46.83
7,0.15,0.00,22.07,0.02,0.00,0.00,0.00,31.69,0.00,53.93,53.93
8,0.17,0.00,16.19,0.02,0.00,0.00,0.00,34.22,0.00,50.6,50.59
9,0.16,0.00,20.45,0.02,0.00,0.02,0.00,32.46,0.00,53.11,53.1
10,0.20,0.00,11.92,0.00,0.00,0.00,0.00,36.07,0.00,48.19,48.19
11,0.19,0.00,19.97,0.00,0.00,0.00,0.00,32.50,0.00,52.66,52.65
12,0.09,0.00,5.97,0.00,0.00,16.01,0.00,35.00,0.00,57.07,57.07
13,0.10,0.00,6.20,0.05,0.00,15.84,0.00,34.34,0.00,56.53,56.52
14,0.09,0.00,5.66,0.00,0.00,22.46,0.00,34.53,0.00,62.74,62.74
15,0.03,0.00,4.99,0.00,0.00,40.92,0.00,32.32,0.00,78.26,78.26
