CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.25,0.00,13.55,0.01,0.00,5.33,0.00,35.08,0.00,54.22,54.23
0,0.40,0.00,7.96,0.00,0.00,0.02,0.00,38.44,0.00,46.82,46.82
1,0.31,0.00,11.33,0.00,0.00,0.00,0.00,36.98,0.00,48.62,48.61
2,0.38,0.00,10.77,0.04,0.00,0.00,0.00,37.36,0.00,48.55,48.55
3,0.28,0.00,15.39,0.00,0.00,0.01,0.00,35.29,0.00,50.97,50.96
4,0.29,0.00,14.08,0.02,0.00,0.00,0.00,35.57,0.00,49.96,49.96
5,0.23,0.00,11.23,0.11,0.00,0.00,0.00,36.82,0.00,48.39,48.39
6,0.28,0.00,8.04,0.00,0.00,0.00,0.00,38.60,0.00,46.92,46.91
7,0.36,0.00,12.67,0.00,0.00,0.00,0.00,36.25,0.00,49.28,49.28
8,0.26,0.00,33.70,0.00,0.00,0.00,0.00,27.58,0.00,61.54,61.54
9,0.28,0.00,14.48,0.00,0.00,0.00,0.00,36.05,0.00,50.81,50.81
10,0.29,0.00,18.17,0.00,0.00,0.00,0.00,34.27,0.00,52.73,52.73
11,0.28,0.00,27.60,0.00,0.00,0.00,0.00,29.83,0.00,57.71,57.71
12,0.07,0.00,7.41,0.03,0.00,16.24,0.00,36.00,0.00,59.75,59.76
13,0.12,0.00,7.04,0.00,0.00,16.33,0.00,35.36,0.00,58.85,58.84
14,0.08,0.00,6.85,0.00,0.00,23.40,0.00,34.76,0.00,65.09,65.09
15,0.05,0.00,5.74,0.00,0.00,41.72,0.00,31.73,0.00,79.24,79.23
