CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.22,0.00,10.66,0.02,0.00,4.47,0.00,34.61,0.00,49.98,49.98
0,0.25,0.00,9.00,0.03,0.00,0.13,0.00,36.70,0.00,46.11,46.12
1,0.24,0.00,4.84,0.00,0.00,0.01,0.00,38.53,0.00,43.62,43.62
2,0.32,0.00,4.60,0.00,0.00,0.00,0.00,38.95,0.00,43.87,43.88
3,0.24,0.00,10.56,0.02,0.00,0.00,0.00,36.23,0.00,47.05,47.05
4,0.25,0.00,5.01,0.00,0.00,0.00,0.00,38.50,0.00,43.76,43.76
5,0.25,0.00,7.48,0.13,0.00,0.00,0.00,37.05,0.00,44.91,44.91
6,0.25,0.00,9.76,0.04,0.00,0.00,0.00,36.44,0.00,46.49,46.5
7,0.25,0.00,4.84,0.00,0.00,0.00,0.00,38.42,0.00,43.51,43.51
8,0.24,0.00,7.66,0.00,0.00,0.00,0.00,37.58,0.00,45.48,45.47
9,0.25,0.00,4.79,0.00,0.00,0.01,0.00,38.70,0.00,43.75,43.75
10,0.22,0.00,10.80,0.00,0.00,0.01,0.00,36.40,0.00,47.43,47.43
11,0.09,0.00,54.80,0.00,0.00,0.00,0.00,17.54,0.00,72.43,72.42
12,0.16,0.00,11.28,0.00,0.00,15.36,0.00,29.58,0.00,56.38,56.38
13,0.19,0.00,12.63,0.00,0.00,15.25,0.00,28.98,0.00,57.05,57.06
14,0.12,0.00,5.27,0.02,0.00,19.81,0.00,31.78,0.00,57,57
15,0.15,0.00,4.75,0.00,0.00,34.90,0.00,28.96,0.00,68.76,68.77
