CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.30,0.00,10.82,0.03,0.00,4.70,0.00,34.40,0.00,50.25,50.25
0,0.33,0.00,20.68,0.02,0.00,0.11,0.00,32.04,0.00,53.18,53.18
1,0.36,0.00,4.92,0.00,0.00,0.01,0.00,38.75,0.00,44.04,44.04
2,0.40,0.00,5.78,0.00,0.00,0.00,0.00,38.40,0.00,44.58,44.58
3,0.43,0.00,11.87,0.00,0.00,0.00,0.00,35.90,0.00,48.2,48.2
4,0.41,0.00,8.17,0.01,0.00,0.00,0.00,37.32,0.00,45.91,45.9
5,0.37,0.00,5.01,0.00,0.00,0.02,0.00,38.69,0.00,44.09,44.09
6,0.15,0.00,65.27,0.00,0.00,0.00,0.00,13.50,0.00,78.92,78.92
7,0.46,0.00,4.92,0.01,0.00,0.00,0.00,38.49,0.00,43.88,43.88
8,0.34,0.00,7.11,0.00,0.00,0.00,0.00,37.81,0.00,45.26,45.26
9,0.41,0.00,7.92,0.32,0.00,0.00,0.00,37.39,0.00,46.04,46.04
10,0.33,0.00,4.77,0.06,0.00,0.00,0.00,38.96,0.00,44.12,44.11
11,0.41,0.00,6.51,0.00,0.00,0.00,0.00,37.92,0.00,44.84,44.84
12,0.11,0.00,4.22,0.00,0.00,11.31,0.00,33.73,0.00,49.37,49.36
13,0.05,0.00,3.78,0.00,0.00,20.38,0.00,30.34,0.00,54.55,54.55
14,0.05,0.00,3.77,0.01,0.00,20.52,0.00,30.19,0.00,54.54,54.54
15,0.05,0.00,3.47,0.00,0.00,34.92,0.00,28.64,0.00,67.08,67.08
