CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.13,0.00,31.53,0.02,0.00,19.58,0.00,41.52,0.00,92.78,92.78
0,0.10,0.00,57.39,0.00,0.00,0.02,0.00,34.48,0.00,91.99,91.99
1,0.22,0.00,38.27,0.00,0.00,0.01,0.00,53.40,0.00,91.9,91.89
2,0.08,0.00,36.84,0.01,0.00,0.01,0.00,54.83,0.00,91.77,91.77
3,0.06,0.00,35.24,0.30,0.00,0.00,0.00,56.54,0.00,92.14,92.15
4,0.05,0.00,40.30,0.00,0.00,0.00,0.00,51.41,0.00,91.76,91.76
5,0.27,0.00,41.83,0.00,0.00,0.01,0.00,49.68,0.00,91.79,91.78
6,0.10,0.00,36.98,0.00,0.00,0.01,0.00,54.69,0.00,91.78,91.78
7,0.06,0.00,37.87,0.01,0.00,0.00,0.00,53.96,0.00,91.9,91.9
8,0.08,0.00,36.21,0.00,0.00,0.01,0.00,55.45,0.00,91.75,91.75
9,0.68,0.00,36.99,0.00,0.00,0.05,0.00,53.75,0.00,91.47,91.47
10,0.16,0.00,45.67,0.00,0.00,0.00,0.00,45.48,0.00,91.31,91.31
11,0.13,0.00,36.50,0.02,0.00,0.00,0.00,54.95,0.00,91.6,91.59
12,0.01,0.00,11.31,0.00,0.00,65.81,0.00,18.25,0.00,95.38,95.38
13,0.03,0.00,3.73,0.00,0.00,82.19,0.00,10.26,0.00,96.21,96.22
14,0.02,0.00,4.39,0.00,0.00,80.84,0.00,10.01,0.00,95.26,95.27
15,0.01,0.00,2.48,0.00,0.00,89.95,0.00,4.27,0.00,96.71,96.71
