CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.17,0.00,12.22,0.02,0.00,5.11,0.00,35.51,0.00,53.03,53.03
0,0.22,0.00,13.29,0.00,0.00,0.03,0.00,36.36,0.00,49.9,49.9
1,0.23,0.00,21.33,0.00,0.00,0.00,0.00,32.82,0.00,54.38,54.39
2,0.24,0.00,6.91,0.00,0.00,0.00,0.00,38.65,0.00,45.8,45.81
3,0.16,0.00,18.99,0.00,0.00,0.00,0.00,33.74,0.00,52.89,52.89
4,0.23,0.00,19.40,0.00,0.00,0.00,0.00,33.47,0.00,53.1,53.09
5,0.19,0.00,15.97,0.11,0.00,0.01,0.00,34.70,0.00,50.98,50.98
6,0.22,0.00,6.43,0.06,0.00,0.00,0.00,38.64,0.00,45.35,45.34
7,0.16,0.00,10.16,0.03,0.00,0.00,0.00,37.34,0.00,47.69,47.7
8,0.20,0.00,8.60,0.02,0.00,0.00,0.00,37.95,0.00,46.77,46.77
9,0.15,0.00,32.96,0.00,0.00,0.02,0.00,27.79,0.00,60.92,60.92
10,0.23,0.00,6.35,0.00,0.00,0.00,0.00,38.65,0.00,45.23,45.22
11,0.27,0.00,8.23,0.01,0.00,0.00,0.00,38.14,0.00,46.65,46.65
12,0.04,0.00,6.12,0.01,0.00,16.11,0.00,35.42,0.00,57.7,57.69
13,0.04,0.00,5.67,0.00,0.00,15.74,0.00,35.41,0.00,56.86,56.85
14,0.03,0.00,5.49,0.00,0.00,22.67,0.00,35.39,0.00,63.58,63.58
15,0.01,0.00,4.89,0.00,0.00,40.84,0.00,33.29,0.00,79.03,79.04
