CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.41,0.00,52.70,0.03,0.00,4.70,0.00,36.75,0.00,94.59,94.58
0,0.12,0.00,55.31,0.00,0.00,0.00,0.00,39.26,0.00,94.69,94.69
1,0.30,0.00,56.02,0.00,0.00,0.01,0.00,38.31,0.00,94.64,94.64
2,0.19,0.00,55.58,0.00,0.00,0.00,0.00,38.85,0.00,94.62,94.62
3,0.35,0.00,54.29,0.22,0.00,0.00,0.00,40.01,0.00,94.87,94.87
4,0.12,0.00,59.26,0.03,0.00,0.00,0.00,35.26,0.00,94.67,94.67
5,0.88,0.00,55.44,0.02,0.00,0.07,0.00,38.30,0.00,94.71,94.7
6,0.26,0.00,55.16,0.00,0.00,0.01,0.00,39.30,0.00,94.73,94.72
7,0.25,0.00,56.40,0.00,0.00,0.01,0.00,38.09,0.00,94.75,94.75
8,0.26,0.00,55.58,0.00,0.00,0.00,0.00,39.08,0.00,94.92,94.92
9,1.20,0.00,55.66,0.00,0.00,0.05,0.00,37.19,0.00,94.1,94.1
10,0.08,0.00,58.77,0.00,0.00,0.00,0.00,35.83,0.00,94.68,94.68
11,0.32,0.00,54.03,0.00,0.00,0.01,0.00,40.17,0.00,94.53,94.52
12,0.59,0.00,36.84,0.08,0.00,23.61,0.00,33.25,0.00,94.37,94.37
13,0.30,0.00,41.53,0.03,0.00,14.35,0.00,38.14,0.00,94.35,94.35
14,0.65,0.00,50.87,0.01,0.00,14.13,0.00,28.88,0.00,94.54,94.54
15,0.65,0.00,42.37,0.04,0.00,23.07,0.00,28.04,0.00,94.17,94.17
all,0.53,0.00,28.68,0.05,0.00,2.41,0.00,19.63,0.00,51.3,51.3
0,0.60,0.00,30.99,0.00,0.00,0.02,0.00,20.10,0.00,51.71,51.72
1,0.44,0.00,28.66,0.00,0.00,0.02,0.00,22.13,0.00,51.25,51.24
2,0.45,0.00,29.73,0.00,0.00,0.01,0.00,21.36,0.00,51.55,51.55
3,0.35,0.00,30.11,0.67,0.00,0.00,0.00,21.12,0.00,52.25,52.26
4,0.44,0.00,29.19,0.04,0.00,0.01,0.00,21.72,0.00,51.4,51.4
5,0.75,0.00,30.90,0.01,0.00,0.09,0.00,20.10,0.00,51.85,51.84
6,0.56,0.00,29.68,0.00,0.00,0.02,0.00,20.97,0.00,51.23,51.23
7,0.54,0.00,30.59,0.00,0.00,0.01,0.00,20.31,0.00,51.45,51.45
8,0.53,0.00,30.65,0.00,0.00,0.02,0.00,20.50,0.00,51.7,51.7
9,0.86,0.00,30.83,0.00,0.00,0.10,0.00,18.98,0.00,50.77,50.77
10,0.63,0.00,30.06,0.00,0.00,0.01,0.00,21.14,0.00,51.84,51.84
11,0.82,0.00,29.10,0.00,0.00,0.01,0.00,21.69,0.00,51.62,51.62
12,0.71,0.00,20.55,0.00,0.00,12.00,0.00,17.48,0.00,50.74,50.73
13,0.12,0.00,22.45,0.05,0.00,7.33,0.00,20.43,0.00,50.38,50.38
14,0.18,0.00,31.56,0.01,0.00,7.07,0.00,11.63,0.00,50.45,50.45
15,0.50,0.00,23.84,0.00,0.00,11.87,0.00,14.37,0.00,50.58,50.58
