CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.16,0.00,9.56,0.01,0.00,4.26,0.00,35.65,0.00,49.64,49.64
0,0.10,0.00,52.06,0.00,0.00,0.02,0.00,19.32,0.00,71.5,71.51
1,0.18,0.00,3.53,0.02,0.00,0.02,0.00,39.33,0.00,43.08,43.08
2,0.16,0.00,9.63,0.00,0.00,0.00,0.00,36.98,0.00,46.77,46.78
3,0.16,0.00,12.98,0.02,0.00,0.00,0.00,35.38,0.00,48.54,48.54
4,0.13,0.00,14.30,0.00,0.00,0.00,0.00,34.90,0.00,49.33,49.33
5,0.18,0.00,3.61,0.00,0.00,0.03,0.00,39.24,0.00,43.06,43.06
6,0.19,0.00,3.45,0.00,0.00,0.00,0.00,39.24,0.00,42.88,42.88
7,0.16,0.00,7.42,0.00,0.00,0.00,0.00,37.86,0.00,45.44,45.44
8,0.16,0.00,3.44,0.00,0.00,0.00,0.00,39.53,0.00,43.13,43.14
9,0.19,0.00,19.37,0.05,0.00,0.01,0.00,32.74,0.00,52.36,52.36
10,0.18,0.00,3.69,0.02,0.00,0.00,0.00,39.23,0.00,43.12,43.12
11,0.24,0.00,3.57,0.00,0.00,0.00,0.00,39.10,0.00,42.91,42.91
12,0.20,0.00,3.18,0.00,0.00,10.28,0.00,36.69,0.00,50.35,50.35
13,0.15,0.00,2.69,0.01,0.00,18.59,0.00,33.94,0.00,55.38,55.4
14,0.10,0.00,2.88,0.00,0.00,19.07,0.00,34.14,0.00,56.19,56.18
15,0.09,0.00,2.53,0.01,0.00,31.84,0.00,31.48,0.00,65.95,65.96
