CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.40,0.00,7.64,0.00,0.00,7.72,0.00,0.00,0.00,15.76,15.75
0,0.38,0.00,8.30,0.00,0.00,6.81,0.00,0.00,0.00,15.49,15.5
1,0.43,0.00,8.38,0.00,0.00,6.79,0.00,0.00,0.00,15.6,15.59
2,0.44,0.00,8.27,0.00,0.00,6.75,0.00,0.00,0.00,15.46,15.45
3,0.46,0.00,8.38,0.00,0.00,6.52,0.00,0.00,0.00,15.36,15.36
4,0.43,0.00,8.34,0.00,0.00,6.96,0.00,0.00,0.00,15.73,15.73
5,0.54,0.00,8.54,0.00,0.00,6.84,0.00,0.00,0.00,15.92,15.93
6,0.47,0.00,8.53,0.00,0.00,6.99,0.00,0.00,0.00,15.99,15.99
7,0.47,0.00,8.65,0.00,0.00,6.49,0.00,0.00,0.00,15.61,15.61
8,0.37,0.00,8.48,0.00,0.00,7.07,0.00,0.00,0.00,15.92,15.92
9,0.45,0.00,8.45,0.00,0.00,6.84,0.00,0.00,0.00,15.74,15.74
10,0.42,0.00,8.43,0.00,0.00,6.89,0.00,0.00,0.00,15.74,15.74
11,0.47,0.00,8.46,0.00,0.00,6.73,0.00,0.00,0.00,15.66,15.66
12,0.26,0.00,5.13,0.00,0.00,10.66,0.00,0.00,0.00,16.05,16.06
13,0.24,0.00,5.35,0.04,0.00,10.18,0.00,0.00,0.00,15.81,15.81
14,0.26,0.00,5.31,0.00,0.00,10.34,0.00,0.00,0.00,15.91,15.91
15,0.22,0.00,5.21,0.00,0.00,10.55,0.00,0.00,0.00,15.98,15.98
