all,0.13,0.00,53.54,0.00,0.00,1.99,0.00,0.00,0.00,55.66,55.65
0,0.13,0.00,59.94,0.00,0.00,2.31,0.00,0.00,0.00,62.38,62.39
1,0.13,0.00,58.69,0.00,0.00,2.13,0.00,0.00,0.00,60.95,60.95
2,0.13,0.00,51.30,0.00,0.00,2.35,0.00,0.00,0.00,53.78,53.78
3,0.12,0.00,54.57,0.00,0.00,1.77,0.00,0.00,0.00,56.46,56.45
4,0.16,0.00,53.51,0.00,0.00,1.61,0.00,0.00,0.00,55.28,55.28
5,0.11,0.00,53.22,0.00,0.00,1.68,0.00,0.00,0.00,55.01,55.01
6,0.13,0.00,47.32,0.03,0.00,1.34,0.00,0.00,0.00,48.82,48.83
7,0.11,0.00,49.20,0.00,0.00,1.57,0.00,0.00,0.00,50.88,50.88
8,0.17,0.00,55.06,0.00,0.00,1.67,0.00,0.00,0.00,56.9,56.9
9,0.12,0.00,48.16,0.00,0.00,1.59,0.00,0.00,0.00,49.87,49.87
10,0.14,0.00,54.04,0.00,0.00,1.71,0.00,0.00,0.00,55.89,55.89
11,0.15,0.00,55.50,0.00,0.00,1.67,0.00,0.00,0.00,57.32,57.32
12,0.13,0.00,57.06,0.00,0.00,2.63,0.00,0.00,0.00,59.82,59.81
13,0.11,0.00,57.58,0.00,0.00,2.59,0.00,0.00,0.00,60.28,60.28
14,0.10,0.00,50.73,0.00,0.00,2.56,0.00,0.00,0.00,53.39,53.39
15,0.11,0.00,50.64,0.03,0.00,2.62,0.00,0.00,0.00,53.4,53.4
