CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,38.06,0.00,9.08,0.01,0.00,0.36,8.62,0.00,0.00,56.13,56.14
0,41.47,0.00,10.05,0.00,0.00,0.27,4.50,0.00,0.00,56.29,56.29
1,39.35,0.00,8.41,0.00,0.00,0.48,9.85,0.00,0.00,58.09,58.09
2,40.26,0.00,8.87,0.00,0.00,0.31,7.64,0.00,0.00,57.08,57.08
3,37.69,0.00,8.82,0.00,0.00,0.33,10.20,0.00,0.00,57.04,57.04
4,34.42,0.00,9.50,0.06,0.00,0.27,13.16,0.00,0.00,57.41,57.41
5,39.03,0.00,9.12,0.00,0.00,0.28,6.95,0.00,0.00,55.38,55.37
6,37.29,0.00,8.68,0.00,0.00,0.69,7.84,0.00,0.00,54.5,54.51
7,35.11,0.00,9.23,0.00,0.00,0.27,8.72,0.00,0.00,53.33,53.34
