CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,50.88,0.00,12.65,0.00,0.00,0.46,0.00,0.00,0.00,63.99,64
0,51.22,0.00,12.51,0.00,0.00,0.48,0.00,0.00,0.00,64.21,64.22
1,50.56,0.00,12.77,0.00,0.00,0.44,0.00,0.00,0.00,63.77,63.77
2,51.18,0.00,12.59,0.02,0.00,0.48,0.00,0.00,0.00,64.27,64.27
3,50.99,0.00,12.72,0.02,0.00,0.44,0.00,0.00,0.00,64.17,64.17
4,50.81,0.00,12.70,0.00,0.00,0.49,0.00,0.00,0.00,64,63.99
5,50.83,0.00,12.69,0.00,0.00,0.44,0.00,0.00,0.00,63.96,63.96
6,51.10,0.00,12.49,0.00,0.00,0.49,0.00,0.00,0.00,64.08,64.09
7,50.34,0.00,12.76,0.00,0.00,0.42,0.00,0.00,0.00,63.52,63.52
