CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.40,0.00,16.58,0.00,0.00,10.83,0.00,45.05,0.00,72.86,72.86
0,2.11,0.00,6.32,0.00,0.00,9.47,0.00,50.53,0.00,68.43,68.42
1,0.00,0.00,3.45,0.00,0.00,24.14,0.00,49.43,0.00,77.02,77.01
2,0.00,0.00,4.35,0.00,0.00,10.87,0.00,52.17,0.00,67.39,67.39
3,1.05,0.00,6.32,0.00,0.00,10.53,0.00,51.58,0.00,69.48,69.47
4,0.00,0.00,5.38,0.00,0.00,10.75,0.00,53.76,0.00,69.89,69.89
5,1.05,0.00,5.26,0.00,0.00,0.00,0.00,56.84,0.00,63.15,63.16
6,0.00,0.00,86.27,0.00,0.00,12.75,0.00,0.00,0.00,99.02,99.02
7,1.10,0.00,6.59,0.00,0.00,9.89,0.00,49.45,0.00,67.03,67.03
all,0.75,0.00,11.67,0.14,0.00,7.26,0.00,28.53,0.00,48.35,48.34
0,0.71,0.00,10.16,0.03,0.00,7.24,0.00,29.63,0.00,47.77,47.76
1,0.60,0.00,7.30,0.69,0.00,15.24,0.00,29.17,0.00,53,53
2,0.69,0.00,10.47,0.07,0.00,7.28,0.00,29.30,0.00,47.81,47.82
3,0.90,0.00,10.54,0.02,0.00,7.11,0.00,29.76,0.00,48.33,48.32
4,0.58,0.00,10.27,0.03,0.00,7.08,0.00,29.47,0.00,47.43,47.43
5,0.54,0.00,20.94,0.19,0.00,0.09,0.00,24.58,0.00,46.34,46.34
6,0.89,0.00,9.75,0.05,0.00,7.08,0.00,29.31,0.00,47.08,47.09
7,1.07,0.00,13.70,0.02,0.00,7.17,0.00,27.13,0.00,49.09,49.09
