CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,76.28,0.00,14.09,0.00,0.00,1.13,0.00,0.00,0.00,91.5,91.5
0,77.72,0.00,13.88,0.00,0.00,0.01,0.00,0.00,0.00,91.61,91.61
1,77.62,0.00,14.03,0.00,0.00,0.04,0.00,0.00,0.00,91.69,91.69
2,75.74,0.00,13.82,0.00,0.00,2.20,0.00,0.00,0.00,91.76,91.76
3,76.14,0.00,14.33,0.00,0.00,0.00,0.00,0.00,0.00,90.47,90.47
4,73.18,0.00,14.74,0.01,0.00,1.15,0.00,0.00,0.00,89.08,89.08
5,75.30,0.00,14.06,0.00,0.00,1.17,0.00,0.00,0.00,90.53,90.53
6,76.66,0.00,14.02,0.00,0.00,2.19,0.00,0.00,0.00,92.87,92.88
7,77.84,0.00,13.82,0.00,0.00,2.31,0.00,0.00,0.00,93.97,93.97
