CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,88.56,0.00,9.23,0.00,0.00,1.05,0.00,0.00,0.00,98.84,98.84
0,90.58,0.00,8.79,0.00,0.00,0.00,0.00,0.00,0.00,99.37,99.37
1,90.57,0.00,8.60,0.00,0.00,0.00,0.00,0.00,0.00,99.17,99.17
2,86.70,0.00,9.69,0.00,0.00,2.08,0.00,0.00,0.00,98.47,98.47
3,87.80,0.00,8.99,0.00,0.00,1.86,0.00,0.00,0.00,98.65,98.66
4,85.32,0.00,10.77,0.00,0.00,1.24,0.00,0.00,0.00,97.33,97.33
5,88.65,0.00,8.83,0.00,0.00,1.98,0.00,0.00,0.00,99.46,99.46
6,88.42,0.00,9.33,0.00,0.00,1.22,0.00,0.00,0.00,98.97,98.98
7,90.42,0.00,8.84,0.00,0.00,0.02,0.00,0.00,0.00,99.28,99.27
