CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,30.46,0.00,7.30,0.00,0.00,0.53,0.00,0.00,0.00,38.29,38.3
0,30.41,0.00,7.69,0.00,0.00,0.02,0.00,0.00,0.00,38.12,38.11
1,30.59,0.00,7.64,0.00,0.00,0.03,0.00,0.00,0.00,38.26,38.26
2,31.38,0.00,7.32,0.01,0.00,0.00,0.00,0.00,0.00,38.71,38.71
3,31.80,0.00,7.28,0.00,0.00,0.00,0.00,0.00,0.00,39.08,39.08
4,31.92,0.00,7.32,0.00,0.00,0.00,0.00,0.00,0.00,39.24,39.24
5,32.45,0.00,7.57,0.00,0.00,0.00,0.00,0.00,0.00,40.02,40.02
6,32.87,0.00,7.29,0.00,0.00,0.00,0.00,0.00,0.00,40.16,40.16
7,32.70,0.00,7.82,0.02,0.00,0.00,0.00,0.00,0.00,40.54,40.55
8,32.67,0.00,7.33,0.00,0.00,0.00,0.00,0.00,0.00,40,40
9,32.11,0.00,7.77,0.00,0.00,0.00,0.00,0.00,0.00,39.88,39.88
10,31.36,0.00,7.73,0.00,0.00,0.00,0.00,0.00,0.00,39.09,39.09
11,30.96,0.00,7.20,0.00,0.00,0.00,0.00,0.00,0.00,38.16,38.17
12,27.24,0.00,6.63,0.00,0.00,1.85,0.00,0.00,0.00,35.72,35.72
13,26.25,0.00,6.89,0.01,0.00,2.01,0.00,0.00,0.00,35.16,35.17
14,26.37,0.00,6.94,0.00,0.00,2.25,0.00,0.00,0.00,35.56,35.56
15,25.68,0.00,6.38,0.00,0.00,2.62,0.00,0.00,0.00,34.68,34.67
