CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,19.46,0.00,5.45,0.00,0.00,0.15,0.00,0.00,0.00,25.06,25.06
0,25.10,0.00,7.38,0.00,0.00,0.11,0.00,0.00,0.00,32.59,32.58
1,25.32,0.00,7.13,0.00,0.00,0.01,0.00,0.00,0.00,32.46,32.46
2,25.92,0.00,7.10,0.00,0.00,0.00,0.00,0.00,0.00,33.02,33.02
3,26.53,0.00,7.37,0.00,0.00,0.00,0.00,0.00,0.00,33.9,33.9
4,17.67,0.00,5.38,0.00,0.00,0.00,0.00,0.00,0.00,23.05,23.05
5,18.60,0.00,5.41,0.00,0.00,0.00,0.00,0.00,0.00,24.01,24.01
6,19.19,0.00,5.29,0.01,0.00,0.00,0.00,0.00,0.00,24.49,24.49
7,19.63,0.00,5.13,0.00,0.00,0.00,0.00,0.00,0.00,24.76,24.76
8,19.87,0.00,5.31,0.00,0.00,0.00,0.00,0.00,0.00,25.18,25.19
9,19.35,0.00,5.12,0.03,0.00,0.00,0.00,0.00,0.00,24.5,24.5
10,19.05,0.00,5.31,0.02,0.00,0.00,0.00,0.00,0.00,24.38,24.38
11,18.48,0.00,5.52,0.00,0.00,0.00,0.00,0.00,0.00,24,24
12,14.83,0.00,4.06,0.00,0.00,0.32,0.00,0.00,0.00,19.21,19.21
13,14.19,0.00,3.92,0.00,0.00,0.34,0.00,0.00,0.00,18.45,18.45
14,13.60,0.00,3.89,0.00,0.00,0.71,0.00,0.00,0.00,18.2,18.2
15,13.62,0.00,3.73,0.00,0.00,1.02,0.00,0.00,0.00,18.37,18.36
