CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,31.87,0.00,6.17,0.00,0.00,0.35,0.00,0.00,0.00,38.39,38.39
0,29.74,0.00,5.04,0.00,0.00,0.13,0.00,0.00,0.00,34.91,34.91
1,30.28,0.00,5.00,0.00,0.00,0.02,0.00,0.00,0.00,35.3,35.3
2,31.71,0.00,5.77,0.01,0.00,0.01,0.00,0.00,0.00,37.5,37.5
3,32.28,0.00,5.24,0.00,0.00,0.00,0.00,0.00,0.00,37.52,37.52
4,33.35,0.00,6.94,0.00,0.00,0.00,0.00,0.00,0.00,40.29,40.29
5,33.56,0.00,6.38,0.00,0.00,0.01,0.00,0.00,0.00,39.95,39.94
6,34.94,0.00,6.18,0.00,0.00,0.00,0.00,0.00,0.00,41.12,41.12
7,35.80,0.00,7.48,0.02,0.00,0.00,0.00,0.00,0.00,43.3,43.3
8,36.12,0.00,7.19,0.02,0.00,0.00,0.00,0.00,0.00,43.33,43.33
9,35.65,0.00,6.12,0.00,0.00,0.00,0.00,0.00,0.00,41.77,41.76
10,34.76,0.00,5.97,0.00,0.00,0.00,0.00,0.00,0.00,40.73,40.73
11,33.13,0.00,7.17,0.00,0.00,0.00,0.00,0.00,0.00,40.3,40.3
12,28.71,0.00,6.84,0.00,0.00,0.80,0.00,0.00,0.00,36.35,36.35
13,27.37,0.00,6.54,0.00,0.00,1.64,0.00,0.00,0.00,35.55,35.55
14,26.62,0.00,4.42,0.00,0.00,0.75,0.00,0.00,0.00,31.79,31.79
15,25.55,0.00,6.45,0.00,0.00,2.35,0.00,0.00,0.00,34.35,34.35
