CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,17.69,0.00,9.67,0.01,0.00,0.35,0.00,0.00,0.00,27.72,27.72
0,17.39,0.00,6.67,0.00,0.00,0.46,0.00,0.00,0.00,24.52,24.52
1,18.39,0.00,11.29,0.00,0.00,0.29,0.00,0.00,0.00,29.97,29.97
2,19.13,0.00,10.73,0.00,0.00,0.23,0.00,0.00,0.00,30.09,30.09
3,18.21,0.00,10.86,0.00,0.00,0.38,0.00,0.00,0.00,29.45,29.45
4,18.45,0.00,11.18,0.00,0.00,0.47,0.00,0.00,0.00,30.1,30.09
5,18.78,0.00,11.12,0.00,0.00,0.32,0.00,0.00,0.00,30.22,30.22
6,19.07,0.00,11.06,0.00,0.00,0.41,0.00,0.00,0.00,30.54,30.54
7,18.86,0.00,6.53,0.00,0.00,0.14,0.00,0.00,0.00,25.53,25.53
8,18.84,0.00,9.54,0.00,0.00,0.17,0.00,0.00,0.00,28.55,28.55
9,18.10,0.00,9.36,0.00,0.00,0.44,0.00,0.00,0.00,27.9,27.9
10,18.64,0.00,9.14,0.00,0.00,0.29,0.00,0.00,0.00,28.07,28.07
11,18.32,0.00,11.09,0.00,0.00,0.29,0.00,0.00,0.00,29.7,29.67
12,15.73,0.00,6.45,0.00,0.00,0.35,0.00,0.00,0.00,22.53,22.53
13,15.67,0.00,10.06,0.09,0.00,0.26,0.00,0.00,0.00,26.08,26.07
14,15.38,0.00,9.82,0.09,0.00,0.74,0.00,0.00,0.00,26.03,26.03
15,13.98,0.00,9.85,0.00,0.00,0.41,0.00,0.00,0.00,24.24,24.25
