CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,19.87,0.00,5.49,0.01,0.00,0.16,0.00,0.00,0.00,25.53,25.52
0,25.63,0.00,7.53,0.00,0.00,0.10,0.00,0.00,0.00,33.26,33.25
1,25.87,0.00,7.70,0.00,0.00,0.00,0.00,0.00,0.00,33.57,33.56
2,26.38,0.00,7.61,0.00,0.00,0.00,0.00,0.00,0.00,33.99,33.99
3,27.08,0.00,7.36,0.00,0.00,0.00,0.00,0.00,0.00,34.44,34.44
4,18.07,0.00,5.00,0.00,0.00,0.01,0.00,0.00,0.00,23.08,23.08
5,19.25,0.00,4.77,0.00,0.00,0.00,0.00,0.00,0.00,24.02,24.03
6,19.30,0.00,5.17,0.00,0.00,0.00,0.00,0.00,0.00,24.47,24.47
7,19.90,0.00,5.02,0.00,0.00,0.00,0.00,0.00,0.00,24.92,24.92
8,19.94,0.00,5.33,0.00,0.00,0.00,0.00,0.00,0.00,25.27,25.26
9,19.90,0.00,5.08,0.03,0.00,0.00,0.00,0.00,0.00,25.01,25.01
10,19.63,0.00,5.21,0.00,0.00,0.00,0.00,0.00,0.00,24.84,24.84
11,19.24,0.00,5.14,0.00,0.00,0.01,0.00,0.00,0.00,24.39,24.39
12,15.28,0.00,4.36,0.00,0.00,0.29,0.00,0.00,0.00,19.93,19.94
13,14.07,0.00,4.25,0.00,0.00,0.33,0.00,0.00,0.00,18.65,18.65
14,13.92,0.00,4.15,0.02,0.00,0.79,0.00,0.00,0.00,18.88,18.88
15,14.21,0.00,4.09,0.03,0.00,1.08,0.00,0.00,0.00,19.41,19.41
