CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,32.54,0.00,7.39,0.00,0.00,0.45,0.00,0.00,0.00,40.38,40.38
0,31.88,0.00,7.32,0.00,0.00,0.10,0.00,0.00,0.00,39.3,39.3
1,32.16,0.00,7.26,0.00,0.00,0.01,0.00,0.00,0.00,39.43,39.43
2,32.71,0.00,8.37,0.00,0.00,0.00,0.00,0.00,0.00,41.08,41.09
3,33.77,0.00,8.36,0.00,0.00,0.00,0.00,0.00,0.00,42.13,42.13
4,34.08,0.00,7.24,0.00,0.00,0.00,0.00,0.00,0.00,41.32,41.32
5,34.59,0.00,8.42,0.00,0.00,0.00,0.00,0.00,0.00,43.01,43.01
6,35.56,0.00,8.19,0.00,0.00,0.00,0.00,0.00,0.00,43.75,43.75
7,35.74,0.00,7.25,0.02,0.00,0.00,0.00,0.00,0.00,43.01,43.01
8,36.09,0.00,6.35,0.00,0.00,0.00,0.00,0.00,0.00,42.44,42.44
9,35.22,0.00,7.46,0.00,0.00,0.00,0.00,0.00,0.00,42.68,42.69
10,34.78,0.00,7.31,0.00,0.00,0.00,0.00,0.00,0.00,42.09,42.1
11,33.96,0.00,6.44,0.01,0.00,0.00,0.00,0.00,0.00,40.41,40.4
12,28.60,0.00,7.56,0.00,0.00,1.38,0.00,0.00,0.00,37.54,37.55
13,28.10,0.00,5.25,0.00,0.00,2.15,0.00,0.00,0.00,35.5,35.5
14,27.64,0.00,7.87,0.00,0.00,0.43,0.00,0.00,0.00,35.94,35.94
15,25.34,0.00,7.59,0.00,0.00,3.33,0.00,0.00,0.00,36.26,36.26
