CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,27.35,0.00,13.33,0.00,0.00,0.69,0.00,0.00,0.00,41.37,41.37
0,32.85,0.00,16.10,0.00,0.00,0.02,0.00,0.00,0.00,48.97,48.97
1,27.89,0.00,13.05,0.00,0.00,0.00,0.00,0.00,0.00,40.94,40.94
2,27.54,0.00,12.65,0.00,0.00,0.00,0.00,0.00,0.00,40.19,40.19
3,33.16,0.00,15.56,0.00,0.00,0.00,0.00,0.00,0.00,48.72,48.72
4,29.02,0.00,13.87,0.00,0.00,0.00,0.00,0.00,0.00,42.89,42.89
5,22.37,0.00,9.82,0.00,0.00,0.18,0.00,0.00,0.00,32.37,32.37
6,32.10,0.00,14.39,0.00,0.00,0.18,0.00,0.00,0.00,46.67,46.66
7,28.26,0.00,13.71,0.00,0.00,0.00,0.00,0.00,0.00,41.97,41.97
8,21.36,0.00,10.11,0.00,0.00,0.00,0.00,0.00,0.00,31.47,31.47
9,31.56,0.00,14.73,0.03,0.00,0.00,0.00,0.00,0.00,46.32,46.32
10,29.38,0.00,14.10,0.00,0.00,0.01,0.00,0.00,0.00,43.49,43.5
11,23.85,0.00,10.96,0.01,0.00,0.02,0.00,0.00,0.00,34.84,34.84
12,25.28,0.00,14.52,0.00,0.00,2.99,0.00,0.00,0.00,42.79,42.79
13,26.38,0.00,14.50,0.00,0.00,1.94,0.00,0.00,0.00,42.82,42.83
14,21.48,0.00,11.74,0.02,0.00,2.82,0.00,0.00,0.00,36.06,36.07
15,24.49,0.00,13.40,0.01,0.00,3.23,0.00,0.00,0.00,41.13,41.12
