CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.39,0.00,5.49,0.04,0.00,0.00,0.00,0.00,0.00,5.92,5.92
0,0.35,0.00,7.17,0.00,0.00,0.06,0.00,0.00,0.00,7.58,7.58
1,0.32,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.46,7.46
2,0.32,0.00,4.53,0.06,0.00,0.00,0.00,0.00,0.00,4.91,4.9
3,0.40,0.00,1.82,0.00,0.00,0.00,0.00,0.00,0.00,2.22,2.23
4,0.41,0.00,7.16,0.00,0.00,0.00,0.00,0.00,0.00,7.57,7.56
5,0.41,0.00,4.66,0.00,0.00,0.00,0.00,0.00,0.00,5.07,5.06
6,0.41,0.00,7.27,0.00,0.00,0.00,0.00,0.00,0.00,7.68,7.67
7,0.46,0.00,7.16,0.52,0.00,0.00,0.00,0.00,0.00,8.14,8.14
8,0.41,0.00,7.16,0.00,0.00,0.00,0.00,0.00,0.00,7.57,7.57
9,0.41,0.00,6.94,0.00,0.00,0.00,0.00,0.00,0.00,7.35,7.35
10,0.41,0.00,6.97,0.00,0.00,0.00,0.00,0.00,0.00,7.38,7.38
11,0.49,0.00,4.44,0.00,0.00,0.00,0.00,0.00,0.00,4.93,4.93
12,0.35,0.00,4.67,0.00,0.00,0.00,0.00,0.00,0.00,5.02,5.02
13,0.41,0.00,1.39,0.00,0.00,0.00,0.00,0.00,0.00,1.8,1.79
14,0.35,0.00,4.75,0.00,0.00,0.00,0.00,0.00,0.00,5.1,5.1
15,0.41,0.00,4.64,0.00,0.00,0.00,0.00,0.00,0.00,5.05,5.04
