CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,27.35,0.00,13.80,0.01,0.00,0.70,0.00,0.00,0.00,41.86,41.86
0,29.45,0.00,15.48,0.00,0.00,0.04,0.00,0.00,0.00,44.97,44.98
1,28.48,0.00,13.48,0.00,0.00,0.01,0.00,0.00,0.00,41.97,41.97
2,28.74,0.00,13.65,0.00,0.00,0.00,0.00,0.00,0.00,42.39,42.38
3,29.64,0.00,14.12,0.01,0.00,0.00,0.00,0.00,0.00,43.77,43.76
4,27.87,0.00,14.79,0.00,0.00,0.00,0.00,0.00,0.00,42.66,42.66
5,26.26,0.00,11.59,0.00,0.00,0.21,0.00,0.00,0.00,38.06,38.05
6,30.12,0.00,14.62,0.00,0.00,0.23,0.00,0.00,0.00,44.97,44.98
7,27.94,0.00,14.69,0.00,0.00,0.00,0.00,0.00,0.00,42.63,42.63
8,26.44,0.00,12.36,0.17,0.00,0.00,0.00,0.00,0.00,38.97,38.97
9,29.09,0.00,15.07,0.00,0.00,0.00,0.00,0.00,0.00,44.16,44.16
10,28.56,0.00,12.74,0.00,0.00,0.00,0.00,0.00,0.00,41.3,41.3
11,27.39,0.00,12.12,0.00,0.00,0.02,0.00,0.00,0.00,39.53,39.53
12,24.74,0.00,14.08,0.00,0.00,2.75,0.00,0.00,0.00,41.57,41.58
13,24.17,0.00,15.05,0.00,0.00,1.88,0.00,0.00,0.00,41.1,41.09
14,23.60,0.00,12.63,0.00,0.00,2.60,0.00,0.00,0.00,38.83,38.83
15,24.76,0.00,14.32,0.00,0.00,3.81,0.00,0.00,0.00,42.89,42.89
