CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,40.33,0.00,10.60,0.00,0.00,0.64,0.00,0.00,0.00,51.57,51.57
0,41.77,0.00,10.74,0.00,0.00,0.50,0.00,0.00,0.00,53.01,53.02
1,38.19,0.00,10.17,0.00,0.00,0.52,0.00,0.00,0.00,48.88,48.88
2,41.22,0.00,10.55,0.00,0.00,1.66,0.00,0.00,0.00,53.43,53.43
3,40.72,0.00,10.80,0.00,0.00,0.43,0.00,0.00,0.00,51.95,51.94
4,39.05,0.00,10.50,0.02,0.00,0.00,0.00,0.00,0.00,49.57,49.57
5,41.43,0.00,10.41,0.02,0.00,0.49,0.00,0.00,0.00,52.35,52.35
6,40.53,0.00,10.72,0.00,0.00,1.56,0.00,0.00,0.00,52.81,52.81
7,39.71,0.00,10.90,0.00,0.00,0.00,0.00,0.00,0.00,50.61,50.61
