CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,39.54,0.00,10.95,0.01,0.00,0.82,0.00,0.00,0.00,51.32,51.31
0,40.36,0.00,11.50,0.00,0.00,0.38,0.00,0.00,0.00,52.24,52.24
1,38.52,0.00,10.25,0.00,0.00,0.55,0.00,0.00,0.00,49.32,49.33
2,40.72,0.00,10.79,0.00,0.00,1.57,0.00,0.00,0.00,53.08,53.08
3,39.99,0.00,11.20,0.00,0.00,0.49,0.00,0.00,0.00,51.68,51.68
4,37.89,0.00,10.67,0.00,0.00,0.60,0.00,0.00,0.00,49.16,49.17
5,40.05,0.00,10.90,0.01,0.00,0.89,0.00,0.00,0.00,51.85,51.85
6,40.23,0.00,11.06,0.02,0.00,1.45,0.00,0.00,0.00,52.76,52.76
7,38.58,0.00,11.21,0.01,0.00,0.59,0.00,0.00,0.00,50.39,50.38
