CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.66,0.00,7.44,0.01,0.00,9.36,0.00,0.00,0.00,17.47,17.46
0,0.67,0.00,7.78,0.00,0.00,9.23,0.00,0.00,0.00,17.68,17.68
1,0.64,0.00,7.33,0.02,0.00,9.39,0.00,0.00,0.00,17.38,17.38
2,0.69,0.00,7.41,0.00,0.00,9.48,0.00,0.00,0.00,17.58,17.58
3,0.69,0.00,7.27,0.02,0.00,9.58,0.00,0.00,0.00,17.56,17.56
4,0.61,0.00,7.58,0.00,0.00,9.24,0.00,0.00,0.00,17.43,17.43
5,0.71,0.00,7.24,0.00,0.00,9.39,0.00,0.00,0.00,17.34,17.34
6,0.66,0.00,7.54,0.00,0.00,9.26,0.00,0.00,0.00,17.46,17.47
7,0.58,0.00,7.41,0.00,0.00,9.26,0.00,0.00,0.00,17.25,17.26
