CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,27.20,0.00,9.29,0.01,0.00,0.23,4.32,0.00,0.00,41.05,41.05
0,25.42,0.00,9.78,0.00,0.00,0.14,2.97,0.00,0.00,38.31,38.3
1,25.53,0.00,9.92,0.00,0.00,0.12,2.55,0.00,0.00,38.12,38.11
2,25.93,0.00,9.21,0.00,0.00,0.14,2.63,0.00,0.00,37.91,37.91
3,26.48,0.00,9.13,0.00,0.00,0.10,3.42,0.00,0.00,39.13,39.14
4,27.81,0.00,9.44,0.00,0.00,0.13,2.90,0.00,0.00,40.28,40.28
5,28.61,0.00,9.28,0.00,0.00,0.87,2.93,0.00,0.00,41.69,41.69
6,29.25,0.00,9.15,0.00,0.00,0.19,3.95,0.00,0.00,42.54,42.54
7,29.73,0.00,9.39,0.00,0.00,0.19,3.71,0.00,0.00,43.02,43.03
8,29.79,0.00,9.06,0.00,0.00,0.22,4.19,0.00,0.00,43.26,43.27
9,28.62,0.00,9.67,0.00,0.00,0.15,5.29,0.00,0.00,43.73,43.73
10,28.23,0.00,9.28,0.00,0.00,0.19,5.41,0.00,0.00,43.11,43.11
11,27.23,0.00,9.28,0.00,0.00,0.22,5.02,0.00,0.00,41.75,41.75
12,26.53,0.00,9.20,0.10,0.00,0.39,7.02,0.00,0.00,43.24,43.24
13,26.37,0.00,9.46,0.00,0.00,0.25,4.76,0.00,0.00,40.84,40.84
14,24.86,0.00,8.53,0.00,0.00,0.18,6.54,0.00,0.00,40.11,40.11
15,24.84,0.00,8.88,0.00,0.00,0.18,5.70,0.00,0.00,39.6,39.59
