CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,26.95,0.00,9.41,0.01,0.00,0.22,4.27,0.00,0.00,40.86,40.85
0,25.24,0.00,9.63,0.00,0.00,0.19,2.82,0.00,0.00,37.88,37.87
1,25.71,0.00,9.69,0.00,0.00,0.11,2.57,0.00,0.00,38.08,38.08
2,26.01,0.00,9.06,0.00,0.00,0.12,2.54,0.00,0.00,37.73,37.73
3,26.22,0.00,9.36,0.00,0.00,0.10,3.12,0.00,0.00,38.8,38.8
4,27.85,0.00,8.99,0.00,0.00,0.10,2.91,0.00,0.00,39.85,39.86
5,28.49,0.00,9.17,0.00,0.00,0.84,2.96,0.00,0.00,41.46,41.45
6,29.30,0.00,9.42,0.00,0.00,0.14,3.71,0.00,0.00,42.57,42.58
7,29.51,0.00,9.61,0.00,0.00,0.17,3.78,0.00,0.00,43.07,43.07
8,29.29,0.00,9.52,0.00,0.00,0.18,4.22,0.00,0.00,43.21,43.2
9,28.19,0.00,9.90,0.00,0.00,0.18,5.24,0.00,0.00,43.51,43.52
10,28.01,0.00,9.62,0.00,0.00,0.18,5.38,0.00,0.00,43.19,43.2
11,27.00,0.00,9.57,0.00,0.00,0.25,4.99,0.00,0.00,41.81,41.81
12,25.88,0.00,9.63,0.09,0.00,0.33,6.86,0.00,0.00,42.79,42.79
13,25.62,0.00,9.69,0.00,0.00,0.18,4.77,0.00,0.00,40.26,40.26
14,24.68,0.00,8.54,0.00,0.00,0.22,6.59,0.00,0.00,40.03,40.02
15,24.28,0.00,9.18,0.00,0.00,0.14,5.64,0.00,0.00,39.24,39.24
