CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,27.90,0.00,27.72,0.01,0.00,2.34,11.79,0.00,0.00,69.76,69.76
0,27.22,0.00,32.97,0.00,0.00,2.29,5.95,0.00,0.00,68.43,68.45
1,27.51,0.00,27.39,0.00,0.00,2.24,10.44,0.00,0.00,67.58,67.57
2,28.31,0.00,26.03,0.00,0.00,1.44,14.98,0.00,0.00,70.76,70.76
3,28.36,0.00,32.71,0.00,0.00,2.24,7.57,0.00,0.00,70.88,70.88
4,27.94,0.00,28.96,0.00,0.00,1.98,9.98,0.00,0.00,68.86,68.86
5,24.47,0.00,20.45,0.00,0.00,4.01,26.16,0.00,0.00,75.09,75.09
6,27.95,0.00,31.05,0.00,0.00,2.05,8.52,0.00,0.00,69.57,69.58
7,29.23,0.00,28.99,0.00,0.00,2.47,10.33,0.00,0.00,71.02,71.01
8,29.00,0.00,22.05,0.00,0.00,1.98,17.97,0.00,0.00,71,70.99
9,28.59,0.00,30.58,0.00,0.00,1.98,9.04,0.00,0.00,70.19,70.18
10,28.87,0.00,28.07,0.09,0.00,2.47,8.08,0.00,0.00,67.58,67.58
11,27.81,0.00,23.40,0.00,0.00,2.07,16.25,0.00,0.00,69.53,69.53
12,27.41,0.00,28.72,0.00,0.00,1.92,11.98,0.00,0.00,70.03,70.02
13,28.69,0.00,30.26,0.00,0.00,3.25,5.91,0.00,0.00,68.11,68.11
14,27.76,0.00,24.45,0.00,0.00,2.62,13.01,0.00,0.00,67.84,67.84
15,27.49,0.00,28.12,0.00,0.00,2.34,11.42,0.00,0.00,69.37,69.37
