CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,26.41,0.00,9.47,0.01,0.00,0.26,4.19,0.00,0.00,40.34,40.34
0,24.77,0.00,9.68,0.00,0.00,0.23,2.85,0.00,0.00,37.53,37.53
1,25.01,0.00,9.62,0.00,0.00,0.12,2.54,0.00,0.00,37.29,37.28
2,24.91,0.00,9.33,0.00,0.00,0.13,2.78,0.00,0.00,37.15,37.15
3,25.54,0.00,9.16,0.00,0.00,0.12,3.15,0.00,0.00,37.97,37.97
4,26.83,0.00,9.37,0.00,0.00,0.10,2.86,0.00,0.00,39.16,39.15
5,27.62,0.00,9.33,0.00,0.00,0.96,2.97,0.00,0.00,40.88,40.88
6,28.11,0.00,9.81,0.00,0.00,0.17,3.58,0.00,0.00,41.67,41.67
7,28.85,0.00,9.57,0.00,0.00,0.24,3.48,0.00,0.00,42.14,42.13
8,28.76,0.00,9.58,0.00,0.00,0.20,4.13,0.00,0.00,42.67,42.67
9,28.29,0.00,9.67,0.00,0.00,0.21,5.06,0.00,0.00,43.23,43.23
10,27.39,0.00,9.63,0.00,0.00,0.27,5.45,0.00,0.00,42.74,42.74
11,26.46,0.00,10.38,0.00,0.00,0.29,4.88,0.00,0.00,42.01,42.01
12,25.98,0.00,9.59,0.09,0.00,0.32,6.53,0.00,0.00,42.51,42.5
13,25.61,0.00,9.47,0.00,0.00,0.30,4.58,0.00,0.00,39.96,39.96
14,24.35,0.00,8.38,0.00,0.00,0.30,6.52,0.00,0.00,39.55,39.54
15,24.15,0.00,8.95,0.00,0.00,0.27,5.59,0.00,0.00,38.96,38.96
