CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,30.80,0.00,5.38,0.00,0.00,0.06,2.14,0.00,0.00,38.38,38.39
0,27.50,0.00,5.08,0.00,0.00,0.02,1.07,0.00,0.00,33.67,33.68
1,27.51,0.00,5.48,0.00,0.00,0.03,1.04,0.00,0.00,34.06,34.05
2,29.03,0.00,5.12,0.00,0.00,0.02,1.05,0.00,0.00,35.22,35.23
3,30.33,0.00,5.30,0.00,0.00,0.01,1.04,0.00,0.00,36.68,36.67
4,31.17,0.00,5.28,0.00,0.00,0.03,1.11,0.00,0.00,37.59,37.6
5,32.62,0.00,5.92,0.00,0.00,0.29,1.59,0.00,0.00,40.42,40.42
6,33.54,0.00,5.71,0.00,0.00,0.05,1.26,0.00,0.00,40.56,40.56
7,34.69,0.00,5.72,0.00,0.00,0.10,1.35,0.00,0.00,41.86,41.85
8,34.86,0.00,5.65,0.00,0.00,0.06,1.51,0.00,0.00,42.08,42.08
9,34.72,0.00,5.63,0.00,0.00,0.06,1.72,0.00,0.00,42.13,42.14
10,33.09,0.00,5.50,0.00,0.00,0.06,2.11,0.00,0.00,40.76,40.76
11,31.61,0.00,5.38,0.00,0.00,0.10,2.55,0.00,0.00,39.64,39.64
12,30.60,0.00,5.34,0.08,0.00,0.07,2.99,0.00,0.00,39.08,39.09
13,28.01,0.00,4.99,0.00,0.00,0.03,4.52,0.00,0.00,37.55,37.55
14,26.82,0.00,4.89,0.00,0.00,0.05,4.62,0.00,0.00,36.38,36.38
15,26.93,0.00,5.15,0.00,0.00,0.02,4.55,0.00,0.00,36.65,36.65
