CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,23.54,0.00,23.23,0.00,0.00,1.82,13.04,0.00,0.00,61.63,61.64
0,23.66,0.00,25.60,0.00,0.00,1.65,11.20,0.00,0.00,62.11,62.11
1,24.51,0.00,24.13,0.00,0.00,1.64,11.93,0.00,0.00,62.21,62.22
2,23.01,0.00,22.72,0.00,0.00,1.27,13.58,0.00,0.00,60.58,60.57
3,24.09,0.00,25.15,0.00,0.00,1.64,11.02,0.00,0.00,61.9,61.89
4,24.38,0.00,23.98,0.00,0.00,1.59,12.25,0.00,0.00,62.2,62.19
5,20.51,0.00,18.33,0.00,0.00,3.93,22.12,0.00,0.00,64.89,64.89
6,23.86,0.00,24.50,0.00,0.00,1.63,11.29,0.00,0.00,61.28,61.29
7,23.10,0.00,22.54,0.00,0.00,1.61,13.81,0.00,0.00,61.06,61.07
8,24.00,0.00,22.22,0.00,0.00,1.55,14.07,0.00,0.00,61.84,61.84
9,24.32,0.00,23.82,0.00,0.00,1.57,12.43,0.00,0.00,62.14,62.13
10,23.51,0.00,23.09,0.00,0.00,1.50,12.58,0.00,0.00,60.68,60.68
11,23.36,0.00,22.36,0.00,0.00,1.59,12.94,0.00,0.00,60.25,60.25
12,23.39,0.00,23.61,0.04,0.00,1.47,12.14,0.00,0.00,60.65,60.65
13,24.91,0.00,24.28,0.00,0.00,2.22,11.36,0.00,0.00,62.77,62.76
14,23.32,0.00,23.04,0.00,0.00,2.15,12.73,0.00,0.00,61.24,61.23
15,22.93,0.00,22.65,0.00,0.00,2.08,12.74,0.00,0.00,60.4,60.4
