CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,26.58,0.00,9.66,0.01,0.00,0.25,4.02,0.00,0.00,40.52,40.52
0,26.30,0.00,9.78,0.00,0.00,0.08,2.31,0.00,0.00,38.47,38.47
1,26.42,0.00,10.36,0.00,0.00,0.07,1.82,0.00,0.00,38.67,38.66
2,27.24,0.00,9.06,0.00,0.00,0.09,1.71,0.00,0.00,38.1,38.09
3,27.83,0.00,9.31,0.00,0.00,0.09,2.52,0.00,0.00,39.75,39.75
4,28.77,0.00,9.26,0.00,0.00,0.13,2.47,0.00,0.00,40.63,40.63
5,28.07,0.00,9.23,0.00,0.00,1.31,3.68,0.00,0.00,42.29,42.28
6,28.94,0.00,9.59,0.00,0.00,0.19,3.37,0.00,0.00,42.09,42.08
7,28.55,0.00,9.82,0.00,0.00,0.26,3.85,0.00,0.00,42.48,42.48
8,27.86,0.00,10.43,0.00,0.00,0.26,3.83,0.00,0.00,42.38,42.38
9,27.06,0.00,9.59,0.00,0.00,0.23,5.16,0.00,0.00,42.04,42.03
10,25.72,0.00,9.90,0.00,0.00,0.24,5.79,0.00,0.00,41.65,41.66
11,25.02,0.00,9.39,0.00,0.00,0.24,5.63,0.00,0.00,40.28,40.28
12,24.21,0.00,9.36,0.00,0.00,0.34,7.35,0.00,0.00,41.26,41.26
13,25.09,0.00,9.65,0.00,0.00,0.16,4.99,0.00,0.00,39.89,39.89
14,24.79,0.00,9.66,0.00,0.00,0.18,4.59,0.00,0.00,39.22,39.22
15,23.59,0.00,10.11,0.14,0.00,0.13,5.07,0.00,0.00,39.04,39.04
