CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,20.30,0.00,11.25,0.02,0.00,0.41,3.53,0.00,0.00,35.51,35.51
0,21.34,0.00,12.35,0.03,0.00,0.38,2.08,0.00,0.00,36.18,36.18
1,20.87,0.00,10.92,0.00,0.00,0.26,1.94,0.00,0.00,33.99,34
2,21.62,0.00,10.54,0.00,0.00,0.23,1.59,0.00,0.00,33.98,33.98
3,23.43,0.00,11.71,0.09,0.00,0.35,2.57,0.00,0.00,38.15,38.15
4,22.07,0.00,11.22,0.00,0.00,0.32,2.31,0.00,0.00,35.92,35.93
5,20.88,0.00,10.88,0.00,0.00,1.73,4.35,0.00,0.00,37.84,37.83
6,20.28,0.00,11.60,0.00,0.00,0.35,3.53,0.00,0.00,35.76,35.77
7,21.43,0.00,10.37,0.00,0.00,0.50,3.79,0.00,0.00,36.09,36.08
8,20.07,0.00,12.09,0.00,0.00,0.38,3.91,0.00,0.00,36.45,36.46
9,20.21,0.00,10.99,0.00,0.00,0.32,4.55,0.00,0.00,36.07,36.08
10,19.55,0.00,11.03,0.26,0.00,0.38,4.46,0.00,0.00,35.68,35.68
11,19.13,0.00,10.80,0.00,0.00,0.38,4.66,0.00,0.00,34.97,34.96
12,18.66,0.00,10.90,0.00,0.00,0.41,5.94,0.00,0.00,35.91,35.9
13,19.40,0.00,11.15,0.00,0.00,0.26,3.30,0.00,0.00,34.11,34.11
14,18.51,0.00,11.58,0.00,0.00,0.17,3.41,0.00,0.00,33.67,33.67
15,17.47,0.00,11.78,0.00,0.00,0.20,3.96,0.00,0.00,33.41,33.41
