CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,12.96,0.00,26.97,0.03,0.00,1.13,5.24,0.00,0.00,46.33,46.33
0,12.75,0.00,28.52,0.00,0.00,0.98,4.15,0.00,0.00,46.4,46.39
1,13.15,0.00,27.40,0.00,0.00,0.89,5.36,0.00,0.00,46.8,46.8
2,13.64,0.00,26.39,0.00,0.00,1.04,4.99,0.00,0.00,46.06,46.07
3,15.05,0.00,26.05,0.00,0.00,1.28,5.17,0.00,0.00,47.55,47.54
4,12.47,0.00,24.64,0.00,0.00,0.80,6.60,0.00,0.00,44.51,44.5
5,11.48,0.00,22.47,0.00,0.00,3.93,12.25,0.00,0.00,50.13,50.12
6,12.07,0.00,27.51,0.00,0.00,0.79,3.23,0.00,0.00,43.6,43.6
7,12.10,0.00,26.07,0.00,0.00,0.86,5.52,0.00,0.00,44.55,44.55
8,13.07,0.00,26.09,0.00,0.00,0.95,5.34,0.00,0.00,45.45,45.45
9,13.77,0.00,28.36,0.00,0.00,0.81,4.13,0.00,0.00,47.07,47.08
10,13.17,0.00,26.82,0.49,0.00,0.88,4.00,0.00,0.00,45.36,45.36
11,12.60,0.00,28.13,0.00,0.00,0.86,4.14,0.00,0.00,45.73,45.74
12,13.22,0.00,27.39,0.00,0.00,0.83,5.56,0.00,0.00,47,47
13,12.67,0.00,28.38,0.00,0.00,0.91,4.40,0.00,0.00,46.36,46.35
14,12.98,0.00,28.60,0.00,0.00,0.95,4.16,0.00,0.00,46.69,46.7
15,13.27,0.00,28.95,0.00,0.00,1.25,4.37,0.00,0.00,47.84,47.84
