CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,53.33,0.00,7.55,0.00,0.00,0.32,18.22,0.00,0.00,79.42,79.41
0,46.90,0.00,6.51,0.00,0.00,0.25,25.02,0.00,0.00,78.68,78.68
1,55.41,0.00,7.58,0.00,0.00,0.19,17.06,0.00,0.00,80.24,80.25
2,55.64,0.00,8.30,0.01,0.00,0.25,15.43,0.00,0.00,79.63,79.63
3,55.63,0.00,7.87,0.00,0.00,0.59,15.02,0.00,0.00,79.11,79.11
